Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Ragnarok Online 2,2013-05-01,0.0,"1,000,000 .. 2,000,000","Gravity, Inc.",Gravity Interactive,1.00E+06,2.00E+06,1.0M,2.0M
Modern Combat 5,2018-10-24,0.0,"1,000,000 .. 2,000,000",Gameloft,Gameloft,1.00E+06,2.00E+06,1.0M,2.0M
School of Dragons,2014-12-04,0.0,"1,000,000 .. 2,000,000","JumpStart Games, Inc.","JumpStart Games, Inc.",1.00E+06,2.00E+06,1.0M,2.0M
Shadow Arena,2020-05-21,0.0,"1,000,000 .. 2,000,000",Pearl Abyss,Pearl Abyss,1.00E+06,2.00E+06,1.0M,2.0M
Dead Maze,2018-02-13,0.0,"1,000,000 .. 2,000,000",Atelier 801,Atelier 801,1.00E+06,2.00E+06,1.0M,2.0M
Panzar,2013-04-12,0.0,"1,000,000 .. 2,000,000",Panzar Studio,OVALIS INVESTMENTS LIMITED,1.00E+06,2.00E+06,1.0M,2.0M
Bless Online,2018-10-23,,"1,000,000 .. 2,000,000",NEOWIZ BLESS STUDIO,NEOWIZ,1.00E+06,2.00E+06,1.0M,2.0M
Dreadnought,2018-10-14,,"1,000,000 .. 2,000,000","Six Foot, YAGER","Grey Box, Six Foot",1.00E+06,2.00E+06,1.0M,2.0M
Dungeons & Dragons Online,2012-06-25,0.0,"1,000,000 .. 2,000,000","Standing Stone Games, LLC","Standing Stone Games, LLC",1.00E+06,2.00E+06,1.0M,2.0M
Predecessor,2022-11-30,19.99,"1,000,000 .. 2,000,000",Omeda Studios,Omeda Studios,1.00E+06,2.00E+06,1.0M,2.0M
Blood of Steel,2020-10-20,0.0,"1,000,000 .. 2,000,000",YC Games,YC Games,1.00E+06,2.00E+06,1.0M,2.0M
Digimon Masters Online,2016-11-03,0.0,"1,000,000 .. 2,000,000","Move Games Co., Ltd.",MOVE ON USA CO.,1.00E+06,2.00E+06,1.0M,2.0M
Romero's Aftermath,2015-09-24,,"1,000,000 .. 2,000,000",Free Reign Entertainment,"OP Productions LLC, Free Reign East LLC",1.00E+06,2.00E+06,1.0M,2.0M
Radical Heights,2018-04-10,,"1,000,000 .. 2,000,000",Boss Key Productions,Boss Key Productions,1.00E+06,2.00E+06,1.0M,2.0M
Elsword,2014-07-02,0.0,"1,000,000 .. 2,000,000",KOG,KOG Games,1.00E+06,2.00E+06,1.0M,2.0M
Riders of Icarus,2016-07-06,0.0,"1,000,000 .. 2,000,000","WeMade, VALOFE",VALOFE,1.00E+06,2.00E+06,1.0M,2.0M
Soulworker,2020-10-02,0.0,"1,000,000 .. 2,000,000","Lion Games Co., Ltd.","Lion Games Co., Ltd.",1.00E+06,2.00E+06,1.0M,2.0M
MapleStory,2012-08-09,0.0,"1,000,000 .. 2,000,000",Nexon,Nexon America Inc.,1.00E+06,2.00E+06,1.0M,2.0M
Governor of Poker 3,2016-02-19,0.0,"1,000,000 .. 2,000,000","Azerion, YoudaGames","Azerion, Youda Games Holding B.V.",1.00E+06,2.00E+06,1.0M,2.0M
MechWarrior Online Solaris 7,2015-12-10,0.0,"1,000,000 .. 2,000,000",Piranha Games Inc.,Piranha Games Inc.,1.00E+06,2.00E+06,1.0M,2.0M
Infestation: Survivor Stories 2020,1986-01-01,0.0,"1,000,000 .. 2,000,000",Fredaikis AB,OP Productions LLC,1.00E+06,2.00E+06,1.0M,2.0M
Old School RuneScape,2013-02-22,0.0,"1,000,000 .. 2,000,000",Jagex Ltd,Jagex Ltd,1.00E+06,2.00E+06,1.0M,2.0M
BRAIN / OUT,2017-02-24,0.0,"1,000,000 .. 2,000,000",Desertkun,Desertkun,1.00E+06,2.00E+06,1.0M,2.0M
Tree of Savior (English Ver.),2016-03-28,0.0,"1,000,000 .. 2,000,000","IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",1.00E+06,2.00E+06,1.0M,2.0M
Creative Destruction,2018-08-02,,"1,000,000 .. 2,000,000",NetEase Games,NetEase Games,1.00E+06,2.00E+06,1.0M,2.0M
War Selection,2019-10-08,0.0,"1,000,000 .. 2,000,000",Glyph Worlds,Glyph Worlds,1.00E+06,2.00E+06,1.0M,2.0M
RuneScape,2020-10-14,0.0,"1,000,000 .. 2,000,000",Jagex Ltd,Jagex Ltd,1.00E+06,2.00E+06,1.0M,2.0M
