"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"9185","Robot vs Birds Zombies","Jul 23, 2015","$0.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","yfyx games","yfyx games"
"11126","Data Hacker: Initiation","Jul 21, 2014","$1.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","New Reality Games","New Reality Games"
"12305","Evolvation","Mar 18, 2020","$1.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Eric Ruts, Jacob Kooiman","HyperReuts"
"13001","Knights and Merchants","Oct 14, 2013","$6.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Topware Interactive","Topware Interactive"
"13048","ARMA: Cold War Assault","Aug 8, 2011","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"13070","Viscera Cleanup Detail: Santa's Rampage","Dec 13, 2013","$2.49","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","RuneStorm","RuneStorm"
"13098","Euro Truck Simulator","Mar 8, 2013","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","SCS Software","SCS Software"
"13122","SimCity 4 Deluxe Edition","Jul 20, 2010","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","01:47 (00:36)","EA - Maxis, Aspyr (Mac)","Electronic Arts, Aspyr (Mac)"
"13156","SNOW - The Ultimate Edition","Nov 11, 2020","$3.74","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Poppermost Productions, WastedStudios, Crytek","Crytek"
"13166","Kingdom: New Lands","Aug 9, 2016","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Noio","Raw Fury"
"13189","Stronghold Crusader 2","Sep 22, 2014","$39.99","N/A (N/A)","1,000,000 .. 2,000,000","03:12 (01:04)","FireFly Studios","FireFly Studios"
"13203","GROUND BRANCH","Aug 14, 2018","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:54 (00:36)","BlackFoot Studios","MicroProse Software"
"13206","X4: Foundations","Nov 30, 2018","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","25:19 (32:41)","Egosoft","Egosoft"
"13218","Call to Arms","Apr 27, 2018","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:18 (00:08)","Digitalmindsoft","Digitalmindsoft"
"13219","NBA 2K23","Sep 8, 2022","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","07:51 (05:49)","Visual Concepts","2K"
"13223","Viscera Cleanup Detail","Oct 23, 2015","$12.99","N/A (N/A)","1,000,000 .. 2,000,000","14:19 (04:46)","RuneStorm","RuneStorm"
"13224","Hot Dogs, Horseshoes & Hand Grenades","Apr 5, 2016","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","02:05 (03:10)","RUST LTD.","RUST LTD."
"13225","Train Simulator Classic","Apr 21, 2022","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"13226","Townscaper","Aug 26, 2021","$5.99","N/A (N/A)","1,000,000 .. 2,000,000","00:02 (00:00)","Oskar Stålberg","Raw Fury"
"13230","Farm Together","Oct 11, 2018","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","04:18 (04:17)","Milkstone Studios","Milkstone Studios"
"13233","Thief Simulator","Nov 9, 2018","$2.99","N/A (N/A)","1,000,000 .. 2,000,000","01:33 (02:58)","Noble Muffins","PlayWay S.A."
"13239","Golf It!","Feb 17, 2017","$8.99","N/A (N/A)","1,000,000 .. 2,000,000","02:05 (02:05)","Perfuse Entertainment","Perfuse Entertainment"
"13241","Victoria 3","Oct 25, 2022","$49.99","N/A (N/A)","1,000,000 .. 2,000,000","21:01 (21:16)","Paradox Development Studio","Paradox Interactive"
"13245","Chinese Parents","Sep 29, 2018","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","02:24 (00:48)","墨鱼玩游戏","墨鱼玩游戏"
"13252","Kingdoms and Castles","Jul 20, 2017","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","05:09 (03:25)","Lion Shield, LLC","Lion Shield, LLC"
"13253","Lobotomy Corporation | Monster Management Simulation","Apr 9, 2018","$8.49","N/A (N/A)","1,000,000 .. 2,000,000","00:18 (00:23)","ProjectMoon","ProjectMoon"
"13255","Empyrion - Galactic Survival","Aug 5, 2020","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:06 (00:02)","Eleon Game Studios","Eleon Game Studios"
"13256","Creativerse","May 8, 2017","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:31 (00:10)","Playful Corp.","Playful Corp."
"13257","MudRunner","Oct 30, 2017","$3.99","N/A (N/A)","1,000,000 .. 2,000,000","02:14 (01:08)","Saber Interactive","Focus Entertainment"
"13259","HuniePop","Jan 19, 2015","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","15:12 (05:04)","HuniePot","HuniePot"
"13260","Brick Rigs","Nov 7, 2016","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","01:43 (00:34)","Fluppisoft","Fluppisoft"
"13261","Hand Simulator","Jul 18, 2017","$1.99","N/A (N/A)","1,000,000 .. 2,000,000","00:08 (00:02)","HFM Games","HFM Games"
"13264","F1 2020","Jul 9, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","02:44 (01:49)","Codemasters","Codemasters, Electronic Arts"
"13267","Farming Simulator 22","Nov 21, 2021","$39.99","N/A (N/A)","1,000,000 .. 2,000,000","19:41 (12:21)","Giants Software","Giants Software"
"13271","EA SPORTS FIFA 21","Oct 8, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","02:22 (00:47)","EA Canada","Electronic Arts"
"13272","PC Building Simulator","Jan 29, 2019","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","01:14 (00:47)","Claudiu Kiss, The Irregular Corporation","The Irregular Corporation"
"13274","My Summer Car","Oct 24, 2016","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","02:51 (01:54)","Amistech Games","Amistech Games"
"13276","Noita","Oct 15, 2020","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","02:08 (02:06)","Nolla Games","Nolla Games"
"13279","CarX Drift Racing Online","Nov 17, 2017","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","03:08 (05:13)","CarX Technologies, LLC","CarX Technologies, LLC"
"3","Thief Gold","May 22, 2012","$6.99","N/A (N/A/92%)","500,000 .. 1,000,000","00:00 (00:00)","Looking Glass Studios","Eidos Interactive Corp."
"10","Pinball FX3","Sep 26, 2017","$23.97","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","Zen Studios","Zen Studios"
"20","Mini Motorways","Jul 20, 2021","$9.99","N/A (N/A/87%)","500,000 .. 1,000,000","00:53 (00:35)","Dinosaur Polo Club","Dinosaur Polo Club"
"21","F1 2019","Jun 27, 2019","N/A","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"56","Spiritfarer: Farewell Edition","Aug 18, 2020","$29.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:17 (00:05)","Thunder Lotus Games","Thunder Lotus Games"
"63","Duskers","May 18, 2016","$19.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Misfits Attic","Misfits Attic"
"64","Universe Sandbox Legacy","Apr 29, 2011","N/A","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Giant Army","Giant Army"
"71","Door Kickers","Oct 20, 2014","$19.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","KillHouse Games","KillHouse Games"
"72","F1 2018","Aug 23, 2018","N/A","N/A (N/A/83%)","500,000 .. 1,000,000","03:27 (01:50)","Codemasters","Codemasters, Electronic Arts"
"75","ABZU","Aug 2, 2016","$19.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Giant Squid","505 Games"
"94","Hardspace: Shipbreaker","May 24, 2022","$34.99","N/A (N/A/82%)","500,000 .. 1,000,000","23:50 (15:53)","Blackbird Interactive","Focus Entertainment"
"103","Wargame: European Escalation","Feb 22, 2012","$9.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Eugen Systems","Eugen Systems"
"104","Ashes of the Singularity: Escalation","Nov 10, 2016","$29.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Stardock Entertainment, Oxide Games","Stardock Entertainment"
"105","RollerCoaster Tycoon 3: Platinum","Oct 26, 2006","N/A","N/A (N/A/81%)","500,000 .. 1,000,000","00:05 (00:01)","Frontier, Aspyr (Mac)","Frontier, Aspyr (Mac)"
"109","Anno 1800","Apr 2019","$59.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Ubisoft Mainz","Ubisoft"
"111","Motorsport Manager","Nov 9, 2016","$19.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:07 (00:03)","Playsport Games","SEGA"
"155","State of Decay","Nov 5, 2013","N/A","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Undead Labs","Xbox Game Studios"
"156","STAR WARS: Squadrons","Oct 1, 2020","$39.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:18 (00:08)","MOTIVE","Electronic Arts"
"170","Human Resource Machine","Oct 15, 2015","$14.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Tomorrow Corporation","Tomorrow Corporation"
"173","DiRT 4","Jun 9, 2017","N/A","N/A (N/A/78%)","500,000 .. 1,000,000","00:22 (00:07)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
"174","Stronghold Crusader HD","Oct 21, 2013","$9.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:03 (00:01)","FireFly Studios","FireFly Studios"
"178","Forager","Apr 18, 2019","$19.99","N/A (N/A/78%)","500,000 .. 1,000,000","02:19 (01:30)","HopFrog","Humble Games"
"189","Rise of Flight United","Sep 5, 2013","Free","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","777 Studios","1С-777 Limited"
"190","Arma 2","","$12.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"194","Xenonauts","Jun 16, 2014","$24.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Goldhawk Interactive","Goldhawk Interactive"
"196","Reigns","Aug 11, 2016","$2.99","N/A (N/A/77%)","500,000 .. 1,000,000","01:07 (00:44)","Nerial","Devolver Digital"
"199","Mini Metro","Nov 6, 2015","$9.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Dinosaur Polo Club","Dinosaur Polo Club"
"200","Jurassic World Evolution 2","Nov 9, 2021","$14.99","N/A (N/A/77%)","500,000 .. 1,000,000","08:14 (05:42)","Frontier Developments","Frontier Developments"
"202","VA-11 Hall-A: Cyberpunk Bartender Action","Jun 21, 2016","$14.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Sukeban Games","Ysbryd Games, AGM PLAYISM"
"219","Imperator: Rome","Apr 25, 2019","$39.99","N/A (N/A/76%)","500,000 .. 1,000,000","10:07 (05:03)","Paradox Development Studio","Paradox Interactive"
"220","Transport Fever 2","Dec 11, 2019","$39.99","N/A (N/A/76%)","500,000 .. 1,000,000","07:09 (02:23)","Urban Games","Good Shepherd Entertainment"
"235","Reus","May 16, 2013","$9.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Abbey Games","Abbey Games"
"238","Police Stories","Sep 19, 2019","$19.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","HypeTrain Digital","HypeTrain Digital"
"239","Chernobylite Enhanced Edition","Jul 28, 2021","$29.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","The Farm 51","The Farm 51"
"242","Bomber Crew","Oct 19, 2017","$3.99","N/A (N/A/75%)","500,000 .. 1,000,000","02:49 (01:51)","Runner Duck","Curve Games"
"243","Project Wingman","Dec 1, 2020","$24.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Sector D2","Sector D2, Humble Games"
"244","Dungeons 3","Oct 13, 2017","$29.99","N/A (N/A/75%)","500,000 .. 1,000,000","01:40 (01:06)","Realmforge Studios","Kalypso Media"
"263","RollerCoaster Tycoon 2: Triple Thrill Pack","May 21, 2014","$9.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:01 (00:00)","Chris Sawyer Productions","Atari"
"265","IL-2 Sturmovik: Battle of Stalingrad","Oct 22, 2014","$49.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:02 (00:00)","1C Game Studios","1С-777 Limited"
"267","Railway Empire","Jan 26, 2018","$29.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Gaming Minds Studios","Kalypso Media"
"283","WWII Online","Jun 6, 2001","Free","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Cornered Rat Software","Playnet, Inc."
"284","X3: Terran Conflict","Oct 16, 2008","$4.79","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Egosoft","Egosoft"
"294","Monster Prom","Apr 27, 2018","$11.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Beautiful Glitch","Those Awesome Guys"
"314","Cities in Motion 2","Apr 2, 2013","$19.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Colossal Order Ltd.","Paradox Interactive"
"319","The Battle of Polytopia","Aug 4, 2020","$14.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Midjiwan AB","Midjiwan AB"
"320","Anno 2205","Nov 2, 2015","$39.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Blue Byte","Ubisoft"
"321","Dream Daddy: A Dad Dating Simulator","Jul 20, 2017","$14.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Game Grumps","Game Grumps"
"322","Gas Station Simulator","Sep 15, 2021","$19.99","N/A (N/A/72%)","500,000 .. 1,000,000","04:24 (02:55)","DRAGO entertainment","DRAGO entertainment, Movie Games S.A., HeartBeat Games"
"339","Cultist Simulator","May 31, 2018","$19.99","N/A (N/A/71%)","500,000 .. 1,000,000","05:03 (03:22)","Weather Factory","Weather Factory"
"340","Transport Fever","Nov 8, 2016","$29.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","Urban Games","Good Shepherd Entertainment"
"364","Starpoint Gemini 2","Sep 26, 2014","$34.99","N/A (N/A/70%)","500,000 .. 1,000,000","00:00 (00:00)","Little Green Men Games","Little Green Men Games"
"367","SPORE Galactic Adventures","Jun 23, 2009","$4.99","N/A (N/A/70%)","500,000 .. 1,000,000","00:00 (00:00)","EA - Maxis","Electronic Arts"
"388","World of Warplanes","Sep 12, 2018","Free","N/A (N/A/69%)","500,000 .. 1,000,000","01:08 (00:22)","Wargaming Group Limited","Wargaming Group Limited"
"390","SimplePlanes","Dec 17, 2015","$12.99","N/A (N/A/69%)","500,000 .. 1,000,000","01:54 (00:38)","Jundroo, LLC","Jundroo, LLC"
"414","Job Simulator","Apr 5, 2016","$19.99","N/A (N/A/68%)","500,000 .. 1,000,000","00:00 (00:00)","Owlchemy Labs","Owlchemy Labs"
"417","Five Nights at Freddy's 3","Mar 2, 2015","$7.99","N/A (N/A/68%)","500,000 .. 1,000,000","00:00 (00:00)","Scott Cawthon","Scott Cawthon"
"418","Car Mechanic Simulator 2015","Apr 23, 2015","$19.99","N/A (N/A/68%)","500,000 .. 1,000,000","00:00 (00:00)","Red Dot Games","PlayWay S.A."
"419","911 Operator","Feb 24, 2017","$2.99","N/A (N/A/68%)","500,000 .. 1,000,000","00:01 (00:00)","Jutsu Games","Games Operators"
"433","Bus Simulator 18","Jun 13, 2018","$24.99","N/A (N/A/67%)","500,000 .. 1,000,000","00:16 (00:05)","stillalive studios","astragon Entertainment"
"445","Strike Suit Zero","Jan 23, 2013","$19.99","N/A (N/A/66%)","500,000 .. 1,000,000","00:00 (00:00)","Born Ready Games Ltd.","Born Ready Games"
"456","Thunder Tier One","Dec 7, 2021","$19.99","N/A (N/A/65%)","500,000 .. 1,000,000","00:00 (00:00)","KRAFTON, Inc.","KRAFTON, Inc."
"470","Farming Simulator 15","Oct 30, 2014","$12.99","N/A (N/A/64%)","500,000 .. 1,000,000","00:00 (00:00)","Giants Software","Giants Software"
"471","Cooking Simulator","Jun 6, 2019","$19.99","N/A (N/A/64%)","500,000 .. 1,000,000","00:00 (00:00)","Big Cheese Studio","Big Cheese Studio, PlayWay S.A."
"500","Five Nights at Freddy's: Sister Location","Oct 7, 2016","$7.99","N/A (N/A/62%)","500,000 .. 1,000,000","00:00 (00:00)","Scott Cawthon","Scott Cawthon"
"505","Dream Pinball 3D","Sep 19, 2012","$6.99","N/A (N/A/61%)","500,000 .. 1,000,000","00:00 (00:00)","ASK Homework","Topware Interactive ACE"
"507","The Guild II","Jun 24, 2010","$2.49","N/A (N/A/61%)","500,000 .. 1,000,000","00:00 (00:00)","4HEAD Studios","THQ Nordic"
"518","I Am Bread","Apr 9, 2015","$12.99","N/A (N/A/60%)","500,000 .. 1,000,000","00:00 (00:00)","Bossa Studios","tinyBuild"
"525","Drug Dealer Simulator","Apr 16, 2020","$19.99","N/A (N/A/59%)","500,000 .. 1,000,000","23:15 (07:45)","Byterunners Game Studio","Movie Games S.A."
"543","Skater XL - The Ultimate Skateboarding Game","Jul 28, 2020","$39.99","N/A (N/A/56%)","500,000 .. 1,000,000","00:24 (00:16)","Easy Day Studios Pty Ltd","Easy Day Studios Pty Ltd"
"546","Iron Front: Digital War Edition","May 25, 2012","$14.99","N/A (N/A/55%)","500,000 .. 1,000,000","00:00 (00:00)","X1 Software, AWAR","Deep Silver"
"554","SPORE Creepy & Cute Parts Pack","Dec 19, 2008","$4.99","N/A (N/A/53%)","500,000 .. 1,000,000","00:00 (00:00)","Maxis™","Electronic Arts"
"874","SpedV","Apr 28, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Freie Programme Hohenstein","Freie Programme Hohenstein"
"875","RADical ROACH Remastered","May 16, 2014","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Pixel Puzzles","Pixel Puzzles"
"883","Navy Field 2 : Conqueror of the Ocean","Mar 5, 2015","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","SDEnterNet","SDEnterNet"
"929","Time of Dragons","Feb 1, 2016","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","4 I Lab","4 I Lab"
"954","Combat Arms: Reloaded","Oct 31, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","VALOFE, NEXON","VALOFE"
"958","Copa Petrobras de Marcas","Nov 29, 2014","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Reiza Studios","Reiza Studios"
"963","Pixel Puzzles Ultimate Jigsaw","Aug 29, 2022","Free","N/A (N/A)","500,000 .. 1,000,000","00:14 (00:18)","Pixel Puzzles","Pixel Puzzles"
"966","Kingdom Wars","Apr 1, 2013","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Reverie World Studios","Space Bullet Dynamics Corporation"
"969","Insanity Clicker","Jun 7, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","PlayFlock","PlayFlock"
"984","Bigscreen Beta","Apr 28, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Bigscreen, Inc.","Bigscreen, Inc."
"986","Shop Heroes","Aug 15, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Cloudcade, Inc.","Cloudcade, Inc."
"989","Armored Warfare","Oct 8, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","01:13 (00:24)","Obsidian Entertainment, Wishlist Games","Wishlist Games"
"990","Battle Islands","Aug 6, 2014","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","DR Studios","505 Games"
"991","Mabinogi","Dec 6, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","NEXON Korea Corp.","Nexon America Inc."
"993","Pinball Arcade","Nov 4, 2013","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","FarSight Studios","FarSight Studios"
"995","Zero-K","Apr 27, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:03 (00:01)","Zero-K Team","Zero-K Team"
"997","AdVenture Communist","Aug 10, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Hyper Hippo Games","Hyper Hippo Games"
"998","Call of War: World War 2","Oct 21, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Bytro Labs GmbH","Bytro Labs GmbH"
"1001","Operation: Harsh Doorstop","Feb 15, 2023","Free","N/A (N/A)","500,000 .. 1,000,000","00:17 (00:05)","Drakeling Labs","Drakeling Labs"
"1003","Steel Ocean","Nov 12, 2015","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Changyou.com Limited","Changyou.com Limited"
"1005","Viscera Cleanup Detail: Shadow Warrior","Oct 11, 2013","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","RuneStorm","Devolver Digital"
"1007","Never Split the Party","Sep 14, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Legend Studio","Legend Studio"
"1008","Wasteland Survival","Jun 3, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Joyloft Co., Limited","Joyloft Co., Limited"
"1011","Google Earth VR","Nov 16, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Google","Google"
"1012","The Pirate: Caribbean Hunt","Aug 24, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:30 (00:10)","Home Net Games","Home Net Games"
"1021","XERA: Survival","Sep 26, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Spotted Kiwi Interactive","Spotted Kiwi Interactive"
"1023","PickCrafter","Dec 14, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:19 (00:06)","Fiveamp","Fiveamp"
"1027","Endless Sky","Oct 30, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Michael Zahniser","Michael Zahniser"
"1028","Pool 2D - Poolians","Dec 15, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Poolians.com","ThankGame.com"
"1030","Prominence Poker","Dec 12, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","03:36 (01:12)","Pipeworks Studios","Jagex Ltd"
"1031","SuchArt: Creative Space","Jan 21, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Goose Minded","HypeTrain Digital"
"1034","Real Pool 3D - Poolians","Dec 15, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:47 (00:47)","Poolians.com","ThankGame.com"
"1035","Learn to Fly 3","Feb 19, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Light Bringer Games inc.","Light Bringer Games inc."
