"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"33","Homeworld Remastered Collection","Feb 25, 2015","$34.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","03:04 (02:02)","Gearbox Software, Aspyr (Mac)","Gearbox Publishing, Aspyr (Mac)"
"34","Football Manager 2019","Nov 2, 2018","N/A","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"36","F1 2021","Jul 15, 2021","$59.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","01:17 (01:17)","Codemasters","Electronic Arts"
"40","Football Manager 2022","Nov 9, 2021","N/A","N/A (N/A/85%)","1,000,000 .. 2,000,000","14:56 (07:28)","Sports Interactive","SEGA"
"52","SpaceChem","Mar 2, 2011","$9.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Zachtronics","Zachtronics"
"55","DiRT Rally 2.0","Feb 25, 2019","$4.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","01:13 (01:11)","Codemasters","Codemasters, Electronic Arts"
"58","Planet Coaster","Nov 17, 2016","$11.24","N/A (N/A/84%)","1,000,000 .. 2,000,000","12:49 (07:27)","Frontier Developments, Aspyr (Mac)","Frontier Developments, Aspyr (Mac)"
"73","Project CARS","May 6, 2015","N/A","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Slightly Mad Studios","Codemasters, Slightly Mad Studios, Electronic Arts"
"74","The Riftbreaker","Oct 14, 2021","$29.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","11:32 (07:41)","EXOR Studios","EXOR Studios, Surefire.Games"
"76","Two Point Hospital","Aug 29, 2018","$29.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","01:12 (00:47)","Two Point Studios","SEGA"
"92","Not For Broadcast","Jan 25, 2022","$24.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","NotGames","tinyBuild"
"95","Hacknet","Aug 12, 2015","$9.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","02:22 (02:12)","Team Fractal Alligator","Fellow Traveller"
"110","Stronghold HD","Oct 21, 2013","$5.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","FireFly Studios","FireFly Studios"
"112","Overcooked","Aug 3, 2016","$16.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:05 (00:01)","Ghost Town Games Ltd.","Team17 Digital Ltd"
"114","Wreckfest","Jun 14, 2018","$29.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","01:14 (00:49)","Bugbear","THQ Nordic"
"115","Barotrauma","Mar 13, 2023","$34.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","03:36 (02:14)","FakeFish, Undertow Games","Daedalic Entertainment"
"116","Rising Storm 2: Vietnam","May 30, 2017","$4.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","03:21 (02:13)","Antimatter Games, Tripwire Interactive","Tripwire Interactive"
"120","Slime Rancher","Aug 1, 2017","$19.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","01:14 (01:29)","Monomi Park","Monomi Park"
"137","Teardown","Apr 21, 2022","$29.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","04:26 (05:18)","Tuxedo Labs","Tuxedo Labs"
"148","Tropico 3","Oct 20, 2009","$9.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","00:00 (00:00)","Haemimont Games","Kalypso Media Digital"
"175","Wargame: Red Dragon","Apr 17, 2014","$29.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","07:01 (03:39)","Eugen Systems","Eugen Systems"
"176","Tropico 6","Mar 29, 2019","$39.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:01 (00:00)","Limbic Entertainment, Realmforge Studios","Kalypso Media"
"177","ACE COMBAT 7: SKIES UNKNOWN","Jan 31, 2019","$59.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","03:02 (04:59)","Bandai Namco Studios Inc.","Bandai Namco Entertainment"
"179","Five Nights at Freddy's","Aug 19, 2014","$4.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:10 (00:03)","Scott Cawthon","Scott Cawthon"
"180","Green Hell","Sep 5, 2019","$24.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","04:23 (06:58)","Creepy Jar","Creepy Jar"
"197","Warhammer 40,000: Dawn of War III","Apr 27, 2017","$39.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","01:28 (00:29)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"198","Orwell: Keeping an Eye On You","Oct 27, 2016","$9.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:20 (00:06)","Osmotic Studios","Osmotic Studios"
"201","Assetto Corsa Competizione","May 29, 2019","$11.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","05:46 (04:27)","Kunos Simulazioni","505 Games"
"241","Tropico 5","May 23, 2014","$19.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","Haemimont Games","Kalypso Media Digital"
"293","Turmoil","Jun 2, 2016","$9.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:44 (00:29)","Gamious","Gamious"
"295","Poly Bridge","Jul 12, 2016","$9.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:50 (00:27)","Dry Cactus","Dry Cactus"
"297","Medieval Dynasty","Sep 23, 2021","$23.44","N/A (N/A/73%)","1,000,000 .. 2,000,000","05:37 (05:28)","Render Cube","Toplitz Productions"
"299","My Time At Portia","Jan 15, 2019","$5.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:09 (00:03)","Pathea Games","Pathea Games, Focus Entertainment"
"323","Unheard - Voices of Crime","Mar 28, 2019","$6.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","02:41 (00:53)","NEXT Studios","NEXT Studios, 505 Games"
"324","BONEWORKS","Dec 10, 2019","$29.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:05 (00:03)","Stress Level Zero","Stress Level Zero"
"343","Surgeon Simulator","Apr 19, 2013","$9.99","N/A (N/A/71%)","1,000,000 .. 2,000,000","00:00 (00:00)","Bossa Studios","tinyBuild"
"344","The Escapists","Feb 13, 2015","$17.99","N/A (N/A/71%)","1,000,000 .. 2,000,000","00:06 (00:04)","Mouldy Toof Studios","Team17"
"366","Dungeons 2","Apr 24, 2015","$19.99","N/A (N/A/70%)","1,000,000 .. 2,000,000","00:00 (00:00)","Realmforge Studios","Kalypso Media Digital"
"370","Verdun","Apr 28, 2015","$19.99","N/A (N/A/70%)","1,000,000 .. 2,000,000","00:00 (00:00)","M2H, Blackmill Games","M2H"
"391","Farming Simulator 17","Oct 24, 2016","$14.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","02:01 (00:40)","GIANTS Software","GIANTS Software"
"392","Graveyard Keeper","Aug 15, 2018","$19.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","00:41 (00:27)","Lazy Bear Games","tinyBuild"
"393","State of Decay 2: Juggernaut Edition","Mar 13, 2020","$29.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","16:36 (20:03)","Undead Labs","Xbox Game Studios"
"420","Game Dev Tycoon","Aug 29, 2013","$9.99","N/A (N/A/68%)","1,000,000 .. 2,000,000","00:56 (00:54)","Greenheart Games","Greenheart Games"
"480","Murderous Pursuits","Apr 26, 2018","$9.99","N/A (N/A/63%)","1,000,000 .. 2,000,000","01:59 (00:39)","Blazing Griffin","Blazing Griffin"
"915","Prismata","Mar 8, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Lunarch Studios","Lunarch Studios"
"996","Builders of Egypt: Prologue","Mar 2, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Strategy Labs","Strategy Labs, PlayWay S.A., CreativeForge Games"
"1009","High Octane Drift","Oct 11, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Cruderocks","Cruderocks"
"1022","War Trigger 3","Dec 22, 2015","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC"
"1032","Kingdom Two Crowns","Dec 11, 2018","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","02:15 (02:59)","Stumpy","Raw Fury"
"1038","Governor of Poker 3","Feb 19, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","09:03 (09:07)","Azerion, YoudaGames","Azerion, Youda Games Holding B.V."
"1039","MechWarrior Online Solaris 7","Dec 10, 2015","Free","N/A (N/A)","1,000,000 .. 2,000,000","02:26 (00:48)","Piranha Games Inc.","Piranha Games Inc."
"1040","OpenTTD","Mar 14, 2004","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","OpenTTD","OpenTTD"
"1043","Mitos.is: The Game","Jul 29, 2015","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:52 (00:17)","Freakinware Studios","Freakinware Studios"
"1046","Shop Titans","May 5, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","03:11 (02:59)","Kabam Games, Inc.","Kabam Games, Inc."
"1048","Moonbase Alpha","Jul 6, 2010","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Virtual Heroes, Army Game Studio","NASA"
"1053","Cell to Singularity - Evolution Never Ends","Nov 3, 2021","Free","N/A (N/A)","1,000,000 .. 2,000,000","03:27 (04:32)","Computer Lunch","Computer Lunch"
"1054","Freddy Fazbear's Pizzeria Simulator","Dec 4, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:01 (00:00)","Scott Cawthon","Scott Cawthon"
"1058","Emily is Away","Nov 20, 2015","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Kyle Seeley","Kyle Seeley"
"1400","Ring of Fire: Prologue","Dec 15, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","de Fault, Chard","Far Few Giants"
