Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Meta Star,2017-08-23,0.0,"0 .. 20,000",Lost-Ride Studios,Lost-Ride Studios,0.00E+00,2.00E+04,0,20.0K
荒岛求生,2019-09-23,,"0 .. 20,000",Island Studio,FrozenStudio,0.00E+00,2.00E+04,0,20.0K
Stupid Stories,2020-12-03,0.0,"0 .. 20,000",Mo,Mo,0.00E+00,2.00E+04,0,20.0K
Bloom: The Forest Burns,2020-06-23,0.0,"0 .. 20,000",Studio Fawn,Studio Fawn,0.00E+00,2.00E+04,0,20.0K
VR Hero Sentry,2018-11-05,0.0,"0 .. 20,000",Refocus Solutions,Refocus Solutions,0.00E+00,2.00E+04,0,20.0K
RogueLite,2018-12-04,,"0 .. 20,000",Joshua Keith,Joshua Keith,0.00E+00,2.00E+04,0,20.0K
Hero of Light VR: Episode 1,2017-11-13,,"0 .. 20,000",Shanda Games,Shanda Games,0.00E+00,2.00E+04,0,20.0K
Town Defence,2019-12-28,0.0,"0 .. 20,000",Brian Tallent,Brian Tallent,0.00E+00,2.00E+04,0,20.0K
KYOTO TANOJI QUEST,2016-12-24,0.0,"0 .. 20,000","Media Impact Co.,Ltd","Media Impact Co.,Ltd",0.00E+00,2.00E+04,0,20.0K
ERISLE,2017-02-19,0.0,"0 .. 20,000",Expect Studio,Expect Studio,0.00E+00,2.00E+04,0,20.0K
Majula Frontier: The Offense,2019-12-04,0.0,"0 .. 20,000",EF Universe Games LLC,EF Universe Games LLC,0.00E+00,2.00E+04,0,20.0K
Stupid Quest - Medieval Adventures,2019-04-10,,"0 .. 20,000",Crazy Frie,Crazy Frie,0.00E+00,2.00E+04,0,20.0K
Tyto Online,2016-11-25,,"0 .. 20,000",Immersed Games,Immersed Games,0.00E+00,2.00E+04,0,20.0K
Astralojia: Episode 1,2019-09-01,,"0 .. 20,000",Astralojia Studios,Astralojia Studios,0.00E+00,2.00E+04,0,20.0K
The Longest Love,2019-09-06,,"0 .. 20,000",夜雨ドッド,夜雨ドッド,0.00E+00,2.00E+04,0,20.0K
Metachromium,2020-09-15,0.0,"0 .. 20,000","Exokit Inc, Pluto VR","Exokit Inc, Pluto VR",0.00E+00,2.00E+04,0,20.0K
