"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"2011","Detective Story: Reporter","Jul 16, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"2012","Mad Snowboarding","Sep 8, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Denis Lapiner","Denis Lapiner"
"2013","Elite Commander","Dec 1, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","indiegames3000","indiegames3000"
"2015","SCORE","Jul 5, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TecEh! Studios",""
"2016","SUPER UFO FIGHTER","Jul 13, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VV-LABO","Phoenixx Inc."
"2017","Cygnus Pizza Race","Jul 10, 2020","$7","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Longplay Games","Indie Imprint"
"2018","Space Ballers","Aug 1, 2022","$1.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rackaway Studios","Rackaway Studios"
"2019","Hyzer Sky","Aug 10, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Markus Amberla","Markus Amberla"
"2020","BuriBoard","Oct 19, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Roberto Ferreira","FerreroDev"
"2022","Riders of Asgard","Mar 31, 2017","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gobbo Games","Gobbo Games"
"2023","The lost Labyrinth","May 31, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Green Sauce Games","HH-Games"
"2024","Digital Diamond Baseball V9","Mar 24, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Curiosity Computing","Curiosity Computing"
"2025","溜冰的猪少","May 1, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","山竹","山竹"
"2026","Digital Diamond Baseball V10","Mar 31, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Curiosity Computing","Curiosity Computing"
"2027","Police Radar","Sep 2, 2022","$1.09","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"2028","Wheelchair Simulator","Jun 12, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ViRa Games","ViRa Games"
"2029","FULLCHOKE : Clay Shooting VR","Nov 27, 2019","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ROLLINGJ GAMES","ROLLINGJ GAMES"
"2030","Trick or Treat","Nov 5, 2021","$1.19","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","HandMade Games"
"2031","Carnage Cross","Dec 16, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Allen Cayn","Allen Cayn"
"2032","Police on Duty","Jul 25, 2022","$4.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TITA Studios","TITA Studios"
"2033","Light and Dance VR - Music, Action, Relaxation","Mar 3, 2017","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hermann Fischer","Total Creations"
"2034","World VR Competition","Dec 6, 2016","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MT Worlds","MT Worlds"
"2036","Fishing Sim World: Bass Pro Shops Edition","Nov 3, 2020","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dovetail Games","Planet Entertainment"
"2037","Super Toy Cars 2","Sep 26, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eclipse Games","Eclipse Games"
"2038","Urban Trial Tricky Deluxe Edition","Jul 22, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tate Multimedia","Tate Multimedia"
"2039","Moonshot Galaxy","Aug 24, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Liftoff Labs","Big Fish Games"
"2040","Draft Day Sports: College Football 2021","Feb 5, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"2041","ToaZZle","Mar 20, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BUG-Studio","OraMonkey"
"2042","Alpine Ski VR","Dec 16, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Suchworks Ltd","Suchworks Ltd"
"2043","Ragnarok Chess","May 4, 2021","$1.09","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Minimol Games","Minimol Games"
"2044","Viro Move","Oct 20, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FIT REALITY","FIT REALITY"
"2045","ELON on MARS","Sep 23, 2019","$0.29","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SRS Games","SRS Games"
"2046","Streetball VR","Jun 2, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Indiecode Games","Indiecode Games"
"2047","Darts and Friends","Apr 9, 2018","$0.27","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Racing Bros","ANPA.US"
"2048","EreaDrone 2018","Jul 17, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EreaDrone, EreaStudio, Elouan Jorrand","EreaDrone"
"2049","Corpse Box Racers","Dec 20, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kabi Jedhagen","An Otter Team, Kabi Jedhagen"
"2050","Shoot The Zombirds VR","Oct 28, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Infinite Dreams","Infinite Dreams"
"2051","Gekraxel","Aug 30, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Josia Roncancio, James Newnorth","Spelkollektivet"
"2052","Mealmates","Aug 10, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","magicdweedoo","magicdweedoo"
"2053","Speedy Golf","May 5, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Off The Deck Games","Off The Deck Games"
"2055","Skate Rift","Nov 1, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Harry Godden","Harry Godden"
"2056","EggTime 2","May 7, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bartoš Studio","Bartoš Studio"
"2057","Action SuperCross","Feb 11, 1997","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elasto Mania Team, Balazs Rozsa","Elasto Mania Team"
"2058","Frisbee For Fun","Nov 21, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Caio Flavio","Caio Flavio"
"2059","World Soccer Strikers '91","Aug 18, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bipolar Dawn","Meteorbyte Studios"
"2060","Space Dance Harmony","Feb 18, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Phenomena","Phenomena"
"2061","The Concourse","Jun 1, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","A & B Game Studios, LLC","A & B Game Studios, LLC"
"2062","Arrowpoint","Dec 11, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Spotted Zebra Software LLC","Spotted Zebra Software LLC"
"2063","Hooplord","Apr 9, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hooplord VR LLC","Hooplord VR LLC"
"2064","Put Your Brain On","May 10, 2022","$44.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KOA BOA","KOA BOA"
"2065","Tennis Club Story","Nov 27, 2022","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd"
"2066","CosmoDrive:Zero","Nov 29, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Diamond Cats Studio","Diamond Cats Studio"
"2067","Aptly Rolling","Aug 27, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Revmatek","Revmatek"
"2068","The World of a Mermaid","Jun 1, 2022","$44.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KOA BOA","KOA BOA"
"2069","Race me now","Aug 26, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Werys Ltd","Werys Ltd"
"2070","Super VR Trainer","Mar 13, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jorge Moreno Aguilera, David Erosa","David Erosa García"
"2071","Car Crush Racing Simulator","Apr 8, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enaayah Software Development and Services Private Limited","Enaayah Software Development and Services Private Limited"
"2072","Rally Car","Apr 8, 2023","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LOSEDEAD","LOSEDEAD"
"2073","Too White Basketball","Jun 10, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CSM","W. T. B."
"2074","Tropical Air Hockey","Feb 14, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ITC Studio","ITC Studio"
"2075","#Archery","Dec 19, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRUnicorns","Bandello"
"2076","Badminton Kings VR","Mar 12, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Appnori Inc.","Appnori Inc."
"2077","CasinoXR","Aug 4, 2016","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","8-Bit Development","8-Bit Development"
"2078","Slavicus","Oct 18, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Loki Atreides","LLC LUXOR"
"2079","Bowslinger","Apr 5, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pompaduo","Pompaduo"
"2080","RC Fun City","Jan 6, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lotte|EoD","Agger Interactive"
"2081","Foot Odor Girl","Feb 25, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MX Nice Game","MX Nice Game"
"2082","World Basketball Manager 2","Jun 22, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Icehole Games","Strategy First"
"2083","Dinosaur Bone Digging","Apr 25, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","A Nostru","My Way Games"
"2084","Cyber Fight Challenge","Sep 10, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nordville Technology LTD","Nordville Technology LTD"
"2085","Stunt Hill","Mar 25, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CasGames","CasGames"
"2086","CapRiders: Euro Soccer","Apr 7, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","3GoGames","3GoGames"
"2087","Mini Matches","Mar 21, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","It's Anecdotal","It's Anecdotal"
"2088","Hamster All-Stars","Feb 28, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sokpop Collective","Sokpop Collective"
"2089","Bad Hop Baseball","Feb 21, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dan Dectis","Dectronica"
"2090","Bocce Revolution","Oct 23, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dysotek","Dysotek"
"2091","Dirt Bike Motocross Stunts","May 5, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enaayah Software Development and Services Private Limited","Enaayah Software Development and Services Private Limited"
"2092","Facing","Apr 8, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zzwei","Zzwei"
"2093","PITCH-HIT ARCADE","Sep 23, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Viewer Ready","Viewer Ready"
"2094","GoalkeepVr","Jan 6, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DigitalBadger Design","DigitalBadger Design"
"2095","Epic Skater 2","Nov 8, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Your Daily Fill","Your Daily Fill"
"2096","Racing Outlaws","Jan 23, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enaayah Software Development and Services Private Limited","Enaayah Software Development and Services Private Limited"
"2097","Cyberpunk Fighting","Nov 12, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"2098","Zero-G","Jan 13, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Søren Trautner Madsen","Trautner Games"
"2099","Handball Action Total","Feb 16, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","netmin games","netmin games"
"2101","TableTop Cricket","Feb 25, 2015","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios"
"2102","Casey Powell Lacrosse 18","Apr 17, 2018","$49.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Ant Studios","Crosse Studios"
"2103","Retro Football Boss","Sep 12, 2016","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","1888 Games","Plug In Digital"
"2104","Drift Long Racing","Nov 20, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChangeMe","ChangeMe"
"2105","Super Arcade Soccer 2021","Sep 4, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ruben Alcañiz","Ruben Alcañiz"
"2106","Ultimate Disc Golf","Jan 31, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TREE Industries","TREE Industries"
"2107","Smoots World Cup Tennis","Jun 1, 2016","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kaneda Games","Plug In Digital"
"2108","Find the Oil Racing Edition","Apr 1, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","new dev","new dev"
"2109","Martial Arts: Capoeira","Jun 12, 2014","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Twelve Games","Libredia"
"2110","Hunting Unlimited 3","Aug 8, 2004","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SCS Software","Ziggurat"
"2111","Joon Shining","Feb 17, 2023","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Orchid of Redemption","Lamplight Forest"
"2112","Moorhuhn X - Crazy Chicken X","Oct 8, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Higgs Games GmbH, GeekPit Studio","Higgs Games GmbH"
"2113","Differently Fast","Sep 6, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRUG","VRUG"
"2114","Hot Squat 2: New Glory","Sep 19, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bean Boy Games","Bean Boy Games"
"2115","Motor Strike: Racing Rampage","Jan 27, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FivexGames","FivexGames"
"2116","Kraken Smash: Volleyball","Jan 26, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AffairesEtrangeres","AffairesEtrangeres"
"2117","No Fair Play","Sep 9, 2022","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Self MADev","Self MADev"
"2118","Public Land Hunter","Feb 28, 2023","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Toft Games","Toft Games"
"2119","Big Hit VR Baseball","May 2, 2017","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Hit Games","Big Hit Games"
"2120","Wrestledunk Sports","Aug 20, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team Fractal Alligator","Team Fractal Alligator"
"2121","Downslope","Jan 19, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mind's Eye Games","Mind's Eye Games"
"2123","Speedway Challenge 2021","Sep 16, 2021","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Artur Berkowski Berobasket","Artur Berkowski Berobasket"
"2124","单词训练营 | Word Training Camp","Nov 7, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CCYY","CCYY"
"2125","Unfair Jousting Fair","Sep 3, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rodaja","Rodaja"
"2126","VR Mini Bowling","Dec 5, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brian Macumber","Brian Macumber"
"2127","Crazy Soccer: Football Stars","Jun 28, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HeroLabs","HeroLabs"
"2128","Snow Horse","Aug 3, 2016","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KinifiGames LLC","KinifiGames LLC"
"2129","Bomb Hunter MT","Apr 3, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FreeCube","FreeCube"
"2130","Big Breezy Boat - Relaxing Sailing","Oct 23, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MarineVerse","MarineVerse"
"2131","EXCHANGE","Oct 12, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Self Destruction Games","Self Destruction Games"
"2132","Octoshield VR","Jun 14, 2016","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Liana Pigeot","Liana Pigeot"
"2133","Super Chicken Catchers","Feb 18, 2020","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","White Smoke Games","White Smoke Games"
"2134","Fisti-Fluffs","Sep 23, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Playfellow Studio","Rogue Games, Inc."
"2135","Car Wash Simulator","Aug 26, 2022","$44.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LoLGames","LoLGames"
"2136","Torqued Up Legends","Oct 8, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Project 172","Project 172"
"2137","Night City 2177","Feb 23, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alongini","Alongini"
"2138","The Karters","Jun 7, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixel Edge Games","Pixel Edge Games"
"2139","Kama Bullet Heritage 2","Apr 18, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Narko Games","Narko Games"
"2140","Wonderputt Forever","Dec 2, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Damp Gnat","Rogue Games, Inc."
"2141","Digital Diamond Baseball V8","Apr 15, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Curiosity Computing","Cass Consulting Inc"
"2142","ViKubb","Feb 27, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Samiri Studios","Whitway Studios"
"2144","Rabbit: Jigsaw Puzzles","Apr 13, 2018","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"2145","River Legends: A Fly Fishing Adventure","Aug 26, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dantat Studio","Dantat Studio"
"2146","Wild Wild Chess","Apr 23, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Minimol Games","Minimol Games"
"2147","Legends of Snooker: One Shot","Sep 16, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","APC STUDIO","APC STUDIO"
"2148","MLB Home Run Derby VR","Apr 26, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MLB","MLB"
"2149","Baseball Riot","Dec 9, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","10tons Ltd","10tons Ltd"
"2150","Racing Juke","Jun 14, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rabotiagi games","Rabotiagi games"
"2151","Cricket Captain 2022","Jun 12, 2022","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Childish Things Ltd","Childish Things Ltd"
"2152","Football Mogul 15","Sep 6, 2016","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sports Mogul, Inc.","Sports Mogul, Inc."
"2153","Cricket Captain 2017","Jul 6, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Childish Things","KISS ltd"
"2154","Off The Chains Disc Golf","Nov 12, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dream Nerdy","Dream Nerdy"
"2156","Muscle Car Robot","May 1, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","A Nostru","My Way Games"
"2157","Playground","Sep 1, 2016","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","K","K"
"2158","Total Arcade Racing","May 6, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pretty Fly Games","Pretty Fly Games"
"2159","First Racer","Apr 5, 2023","$1.69","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Perfect Games","Perfect Games"
"2160","Quest Of Graal","Feb 4, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixel-Archipel, Théo Mn","Pixel-Archipel"
"2161","NEOGEO POCKET COLOR SELECTION Vol. 1 Steam Edition","Sep 29, 2021","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SNK CORPORATION, Code Mystics","SNK CORPORATION"
"2162","Happy Penguin VR","Mar 29, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bellcat Game","Bellcat Game"
"2163","Little Witch Academia: VR Broom Racing","Jul 15, 2021","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","UNIVRS, Inc.","UNIVRS, Inc."
"2164","Basketball Babe","Oct 2, 2016","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VACTOR","VACTOR"
"2165","Archery Simulator","Sep 21, 2022","$1.09","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beam Bong Games","Atomic Fabrik, Cristian Manolachi"
"2166","PLANNES","Dec 8, 2016","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tricol Co., Ltd.","Tricol Co., Ltd."
"2167","TURK: The Demon Slayer","May 15, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"2168","Tennis Arcade VR","Jul 20, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ITC Studio, Software Wolf","Software Wolf, ITC Studio"
"2169","Balls! Virtual Reality Cricket","Feb 7, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Karl Binder, David Nestoruk","stickee"
"2170","Beer Pong League","Nov 30, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Polyverse Studio","Polyverse Studio"
"2171","Canadian Football 2017","Jul 26, 2017","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Canuck Play Inc.","Canuck Play Inc."
"2172","Ero Date","Sep 6, 2018","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","meokigame","meokigame"
"2173","Summer Athletics","Jul 4, 2008","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","49 Games","DTP Entertainment"
"2174","Unforgiven VR","Feb 23, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Delirium Studios","Talking About Media"
"2175","Drift Zone","Dec 14, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Awesome Industries","Awesome Industries"
"2176","PRO FISHING SIMULATOR","Nov 29, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sanuk Games","Nacon"
"2177","J15 Jet Fighter VR (歼15舰载机)","Jun 22, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Magicvalley Studio","Magicvalley Studio"
"2178","Pro Basketball Manager 2017","Jan 19, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Umix Studios, Cyanide Studio","Nacon"
"2179","SHOFER Race Driver","Jun 30, 2015","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zhoori Maang Entertainment","Zhoori Maang Entertainment"
"2182","Super Dodgeball Beats","Sep 11, 2019","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FinalBoss Games","Liu Lidan"
"2183","clown town 1443","May 5, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YASSER MAHMOUD FATHY MAHMOUD MEAILY","YASSER MAHMOUD FATHY MAHMOUD MEAILY"
"2184","Traction Control","Mar 28, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sailboat Studios","Sailboat Studios"
"2185","SmuggleCraft","May 23, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Happy Badger Studio","Happy Badger Studio"
"2186","Barton Lynch Pro Surfing","Apr 7, 2022","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bungarra Software Pty Ltd","Bungarra Software Pty Ltd"
"2187","Airport Administrator Simulator","May 13, 2022","$44.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KOA BOA","KOA BOA"
"2188","Line of War","May 22, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"2189","Clazer","Dec 27, 2016","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SynapticSwitch, LLC","SynapticSwitch, LLC, LeadTech, LLC"
"2190","Go All Out","Jun 6, 2019","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blue Sunset Games","Saurus Digital, Console Labs S.A."
"2191","Shark Assault Simulator","Jun 10, 2022","$44.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"2192","Musclecar Online","Feb 12, 2015","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Psychic Software","Psychic Software"
"2194","Australian Football Coach 2020","Aug 21, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Statto Software","Statto Software"
"2195","The Zombie Smasher","Jan 18, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Cristian Manolachi"
"2196","Russian Prison Sport: OCHKO","Apr 29, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CSM","W.T.B."
"2197","PBA Pro Bowling 2023","Sep 7, 2022","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FarSight Studios","FarSight Studios"
"2198","Super GTR Racing","May 18, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bullid Games","Bullid Games"
"2199","Warp Drive","Nov 27, 2020","$18.74","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Supergonk","Supergonk"
"2200","Late Night 1320","Mar 15, 2019","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Purple Shadow Interactive","Purple Shadow Interactive"
"2201","I Can't Believe It's Not Gambling 2(K)","Dec 16, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mutant Entertainment Studios","Mutant Entertainment Studios"
"2202","D Series OFF ROAD Driving Simulation","May 19, 2015","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","devotid","devotid Media"
"2204","Handball 21","Nov 12, 2020","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eko Software","Nacon"
"2205","Ballsy! World Cup 2020","Oct 28, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Properly Decent","Properly Decent"
