"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"48","F1 2012","Sep 17, 2012","N/A","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"55","Golf Club Wasteland","Sep 3, 2021","$9.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Demagog Studio","Untold Tales"
"56","iRacing","Jan 12, 2015","$9.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing"
"58","Laser League","May 10, 2018","Free","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Roll7, CE-Asia, 505 Games","CE-Asia, 505 Games"
"67","Horizon Chase Turbo","May 15, 2018","$3.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","AQUIRIS","AQUIRIS"
"73","WWE 2K16","Mar 10, 2016","N/A","N/A (N/A/74%)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"74","Biped","Mar 26, 2020","$5.24","N/A (N/A/74%)","200,000 .. 500,000","01:47 (00:35)","NEXT Studios","NEXT Studios, META Publishing"
"75","PGA TOUR 2K21","Aug 20, 2020","$59.99","N/A (N/A/74%)","200,000 .. 500,000","00:00 (00:00)","HB Studios Multimedia Ltd.","2K"
"79","Gas Guzzlers Extreme","Oct 8, 2013","$24.99","N/A (N/A/73%)","200,000 .. 500,000","00:00 (00:00)","Gamepires","Jagex Ltd"
"90","Quantum League","Apr 15, 2021","$9.99","N/A (N/A/70%)","200,000 .. 500,000","00:00 (00:00)","Nimble Giant Entertainment","Nimble Giant Entertainment"
"91","RIDE 3","Nov 30, 2018","$39.99","N/A (N/A/70%)","200,000 .. 500,000","00:08 (00:02)","Milestone S.r.l.","Milestone S.r.l."
"92","Ultimate Fishing Simulator","Aug 30, 2018","$19.99","N/A (N/A/70%)","200,000 .. 500,000","00:38 (00:12)","Bit Golem, Pancake Games, 3T Labs","Ultimate Games S.A."
"101","TT Isle of Man: Ride on the Edge","Mar 27, 2018","$19.99","N/A (N/A/68%)","200,000 .. 500,000","00:03 (00:01)","KT Racing","Nacon"
"103","NBA Playgrounds","May 8, 2017","N/A","N/A (N/A/67%)","200,000 .. 500,000","00:00 (00:00)","Saber Interactive","Mad Dog Games, LLC"
"114","WWE 2K18","Oct 17, 2017","N/A","N/A (N/A/64%)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"121","WWE 2K17","Feb 7, 2017","N/A","N/A (N/A/61%)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"122","F1 2014","Oct 16, 2014","N/A","N/A (N/A/61%)","200,000 .. 500,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"131","Deadly Dozen","Oct 31, 2001","$9.99","N/A (N/A/56%)","200,000 .. 500,000","00:00 (00:00)","N-Fusion Interactive","Ziggurat"
"138","WWE 2K20","Oct 21, 2019","N/A","N/A (N/A/43%)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts","2K"
"368","Adventure Climb VR","Apr 16, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","MXTreality","MXTreality"
"379","Soccer Manager 2018","Dec 22, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"384","Soccer Manager 2015","Jul 16, 2015","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
