Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
TEKKEN 7,2017-06-01,39.99,"2,000,000 .. 5,000,000",BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,2.00E+06,5.00E+06,2.0M,5.0M
Football Manager 2017,2016-11-03,,"2,000,000 .. 5,000,000",Sports Interactive,SEGA,2.00E+06,5.00E+06,2.0M,5.0M
NBA 2K19,2018-09-10,,"2,000,000 .. 5,000,000",Visual Concepts,2K,2.00E+06,5.00E+06,2.0M,5.0M
Need for Speed Heat,2019-11-08,69.99,"2,000,000 .. 5,000,000",Ghost Games,Electronic Arts,2.00E+06,5.00E+06,2.0M,5.0M
F1 2015,2015-07-09,,"2,000,000 .. 5,000,000","Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",2.00E+06,5.00E+06,2.0M,5.0M
S.K.I.L.L. - Special Force 2 (Shooter),2013-09-12,,"2,000,000 .. 5,000,000","Dragonfly GF Co., LTD",Space Budgie,2.00E+06,5.00E+06,2.0M,5.0M
RaceRoom Racing Experience,2013-02-12,,"2,000,000 .. 5,000,000",KW Studios,"KW Studios, RaceRoom Entertainment AG",2.00E+06,5.00E+06,2.0M,5.0M
Russian Fishing 4,2021-11-10,0.0,"2,000,000 .. 5,000,000","FishSoft, LLC","FishSoft, LLC",2.00E+06,5.00E+06,2.0M,5.0M
Fishing Planet,2015-08-11,0.0,"2,000,000 .. 5,000,000",Fishing Planet LLC,Fishing Planet LLC,2.00E+06,5.00E+06,2.0M,5.0M
NBA 2K21,2020-09-04,,"2,000,000 .. 5,000,000",Visual Concepts,2K,2.00E+06,5.00E+06,2.0M,5.0M
