"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"10810","Deathmatch Classic","Jun 1, 2001","$4.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Valve","Valve"
"1","BioShock","Aug 21, 2007","$11.99","N/A (N/A/96%)","2,000,000 .. 5,000,000","00:00 (00:00)","2K Boston, 2K Australia","2K"
"3","Half-Life 2","Nov 16, 2004","$9.99","N/A (N/A/96%)","2,000,000 .. 5,000,000","16:34 (30:04)","Valve","Valve"
"7","Grand Theft Auto: Vice City","May 13, 2003","N/A","N/A (N/A/94%)","2,000,000 .. 5,000,000","00:09 (00:09)","Rockstar Games","Rockstar Games"
"11","Company of Heroes - Legacy Edition","Sep 11, 2006","$19.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","00:00 (00:00)","Relic Entertainment","SEGA"
"12","Grand Theft Auto III","May 21, 2002","N/A","N/A (N/A/93%)","2,000,000 .. 5,000,000","00:00 (00:00)","Rockstar Games","Rockstar Games"
"15","Half-Life: Alyx","Mar 23, 2020","$59.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","01:04 (00:23)","Valve","Valve"
"16","God of War","Jan 14, 2022","$49.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","13:43 (19:14)","Santa Monica Studio","PlayStation PC LLC"
"23","Call of Duty 4: Modern Warfare (2007)","Nov 12, 2007","$19.99","N/A (N/A/92%)","2,000,000 .. 5,000,000","00:00 (00:00)","Infinity Ward","Activision"
"29","Deus Ex: Human Revolution - Director's Cut","Oct 25, 2013","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:41 (00:26)","Eidos Montreal","Eidos Interactive Corp."
"31","Batman: Arkham Asylum Game of the Year Edition","Mar 26, 2010","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","17:56 (05:58)","Rocksteady Studios","Warner Bros. Interactive Entertainment"
"32","Batman: Arkham City - Game of the Year Edition","Sep 7, 2012","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","09:02 (05:58)","Rocksteady Studios","Warner Bros. Interactive Entertainment"
"33","Dishonored","Oct 8, 2012","$9.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","05:36 (06:18)","Arkane Studios","Bethesda Softworks"
"34","METAL GEAR SOLID V: THE PHANTOM PAIN","Sep 1, 2015","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:10 (00:05)","Konami Digital Entertainment","Konami Digital Entertainment"
"63","Street Fighter V","Feb 15, 2016","$19.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","05:22 (07:21)","Capcom","Capcom"
"64","Left 4 Dead","Nov 17, 2008","$9.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","00:30 (00:19)","Valve","Valve"
"65","Devil May Cry 5","Mar 7, 2019","$29.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","02:15 (03:12)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"68","Dead Cells","Aug 6, 2018","$24.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","04:43 (02:34)","Motion Twin","Motion Twin"
"80","Mafia","Aug 28, 2002","$4.94","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:00 (00:00)","Illusion Softworks","2K"
"82","BioShock 2","Feb 9, 2010","$11.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:00 (00:00)","2K Marin, 2K China, Digital Extremes, 2K Australia","2K"
"85","EVE Online","May 6, 2003","Free","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:14 (01:29)","CCP","CCP"
"87","Torchlight II","Sep 20, 2012","$14.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","09:21 (03:07)","Runic Games","Gearbox Publishing"
"88","LIMBO","Aug 2, 2011","$9.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:01 (00:00)","Playdead","Playdead"
"89","Ori and the Blind Forest","Mar 11, 2015","N/A","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:00 (00:00)","Moon Studios GmbH","Xbox Game Studios"
"90","Ori and the Blind Forest: Definitive Edition","Apr 27, 2016","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:10 (00:03)","Moon Studios GmbH","Xbox Game Studios"
"92","Far Cry 3","Dec 4, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","01:51 (01:13)","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft"
"93","Ori and the Will of the Wisps","Mar 10, 2020","$29.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","03:54 (03:49)","Moon Studios GmbH","Xbox Game Studios"
"94","Cuphead","Sep 29, 2017","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","01:47 (04:05)","Studio MDHR Entertainment Inc.","Studio MDHR Entertainment Inc."
"96","DOOM Eternal","Mar 19, 2020","$39.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","05:06 (10:54)","id Software","Bethesda Softworks"
"121","Psychonauts","Apr 19, 2005","$9.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","01:04 (00:21)","Double Fine Productions","Double Fine Productions"
