Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Dungeons & Dragons Online,2012-06-25,0.0,"1,000,000 .. 2,000,000","Standing Stone Games, LLC","Standing Stone Games, LLC",1.00E+06,2.00E+06,1.0M,2.0M
GUNS UP!,2018-02-05,0.0,"1,000,000 .. 2,000,000","Valkyrie Entertainment, LLC",PlayStation PC LLC,1.00E+06,2.00E+06,1.0M,2.0M
Modern Combat Versus,2017-12-19,0.0,"1,000,000 .. 2,000,000",Gameloft,Gameloft,1.00E+06,2.00E+06,1.0M,2.0M
Blood of Steel,2020-10-20,0.0,"1,000,000 .. 2,000,000",YC Games,YC Games,1.00E+06,2.00E+06,1.0M,2.0M
Himno,2019-04-26,0.0,"1,000,000 .. 2,000,000",David Moralejo Sánchez,"GrabTheGames, UpgradePoint",1.00E+06,2.00E+06,1.0M,2.0M
"Pirates, Vikings, and Knights II",2010-02-12,0.0,"1,000,000 .. 2,000,000",Octoshark Studios,Octoshark Studios,1.00E+06,2.00E+06,1.0M,2.0M
Art of War: Red Tides,2016-12-22,0.0,"1,000,000 .. 2,000,000",Game Science,Game Science,1.00E+06,2.00E+06,1.0M,2.0M
Realm Grinder,2017-06-15,0.0,"1,000,000 .. 2,000,000",Divine Games,Kongregate,1.00E+06,2.00E+06,1.0M,2.0M
The Lab,2016-04-05,0.0,"1,000,000 .. 2,000,000",Valve,Valve,1.00E+06,2.00E+06,1.0M,2.0M
Digimon Masters Online,2016-11-03,0.0,"1,000,000 .. 2,000,000","Move Games Co., Ltd.",MOVE ON USA CO.,1.00E+06,2.00E+06,1.0M,2.0M
ArcheBlade,2014-04-25,0.0,"1,000,000 .. 2,000,000",CodeBrush Games,Codebrush Games,1.00E+06,2.00E+06,1.0M,2.0M
Scribble It!,2020-10-20,0.0,"1,000,000 .. 2,000,000",Detach Entertainment,Detach Entertainment,1.00E+06,2.00E+06,1.0M,2.0M
Gear Up,2015-01-28,0.0,"1,000,000 .. 2,000,000",Doctor Entertainment AB,Doctor Entertainment AB,1.00E+06,2.00E+06,1.0M,2.0M
Relic Hunters Zero: Remix,2015-08-18,0.0,"1,000,000 .. 2,000,000",Rogue Snail,Akupara Games,1.00E+06,2.00E+06,1.0M,2.0M
Elsword,2014-07-02,0.0,"1,000,000 .. 2,000,000",KOG,KOG Games,1.00E+06,2.00E+06,1.0M,2.0M
Riders of Icarus,2016-07-06,0.0,"1,000,000 .. 2,000,000","WeMade, VALOFE",VALOFE,1.00E+06,2.00E+06,1.0M,2.0M
Soulworker,2020-10-02,0.0,"1,000,000 .. 2,000,000","Lion Games Co., Ltd.","Lion Games Co., Ltd.",1.00E+06,2.00E+06,1.0M,2.0M
MapleStory,2012-08-09,0.0,"1,000,000 .. 2,000,000",Nexon,Nexon America Inc.,1.00E+06,2.00E+06,1.0M,2.0M
The Elder Scrolls: Legends,2017-05-31,0.0,"1,000,000 .. 2,000,000","Sparkypants Studios, LLC",Bethesda Softworks,1.00E+06,2.00E+06,1.0M,2.0M
CS2D,2004-12-24,0.0,"1,000,000 .. 2,000,000",Unreal Software,Unreal Software,1.00E+06,2.00E+06,1.0M,2.0M
Governor of Poker 3,2016-02-19,0.0,"1,000,000 .. 2,000,000","Azerion, YoudaGames","Azerion, Youda Games Holding B.V.",1.00E+06,2.00E+06,1.0M,2.0M
MechWarrior Online Solaris 7,2015-12-10,0.0,"1,000,000 .. 2,000,000",Piranha Games Inc.,Piranha Games Inc.,1.00E+06,2.00E+06,1.0M,2.0M
AirMech Strike,2018-03-30,0.0,"1,000,000 .. 2,000,000",Carbon Games,Carbon Games,1.00E+06,2.00E+06,1.0M,2.0M
OpenTTD,2004-03-14,0.0,"1,000,000 .. 2,000,000",OpenTTD,OpenTTD,1.00E+06,2.00E+06,1.0M,2.0M
Mitos.is: The Game,2015-07-29,0.0,"1,000,000 .. 2,000,000",Freakinware Studios,Freakinware Studios,1.00E+06,2.00E+06,1.0M,2.0M
Idle Champions of the Forgotten Realms,2020-03-25,0.0,"1,000,000 .. 2,000,000",Codename Entertainment Inc.,Codename Entertainment Inc.,1.00E+06,2.00E+06,1.0M,2.0M
Shadowverse CCG,2016-10-27,0.0,"1,000,000 .. 2,000,000","Cygames, Inc.","Cygames, Inc., Cygames Korea Inc.",1.00E+06,2.00E+06,1.0M,2.0M
Double Action: Boogaloo,2014-10-23,0.0,"1,000,000 .. 2,000,000",Double Action Factory,Double Action Factory,1.00E+06,2.00E+06,1.0M,2.0M
War Robots,2018-04-05,0.0,"1,000,000 .. 2,000,000",Pixonic,Pixonic,1.00E+06,2.00E+06,1.0M,2.0M
Shop Titans,2020-05-05,0.0,"1,000,000 .. 2,000,000","Kabam Games, Inc.","Kabam Games, Inc.",1.00E+06,2.00E+06,1.0M,2.0M
Infestation: Survivor Stories 2020,1986-01-01,0.0,"1,000,000 .. 2,000,000",Fredaikis AB,OP Productions LLC,1.00E+06,2.00E+06,1.0M,2.0M
BLOCKPOST,2019-04-25,0.0,"1,000,000 .. 2,000,000",Skullcap Studios,Skullcap Studios,1.00E+06,2.00E+06,1.0M,2.0M
Old School RuneScape,2013-02-22,0.0,"1,000,000 .. 2,000,000",Jagex Ltd,Jagex Ltd,1.00E+06,2.00E+06,1.0M,2.0M
Sakura Clicker,2015-07-29,0.0,"1,000,000 .. 2,000,000",Winged Cloud,Winged Cloud,1.00E+06,2.00E+06,1.0M,2.0M
BRAIN / OUT,2017-02-24,0.0,"1,000,000 .. 2,000,000",Desertkun,Desertkun,1.00E+06,2.00E+06,1.0M,2.0M
Spooky's Jump Scare Mansion,2015-07-28,0.0,"1,000,000 .. 2,000,000",Lag Studios,Lag Studios,1.00E+06,2.00E+06,1.0M,2.0M
Tree of Savior (English Ver.),2016-03-28,0.0,"1,000,000 .. 2,000,000","IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",1.00E+06,2.00E+06,1.0M,2.0M
Action Taimanin,2020-10-05,0.0,"1,000,000 .. 2,000,000",LiLith,Infini-Brain inc.,1.00E+06,2.00E+06,1.0M,2.0M
