"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"19078","Memetown USA","Aug 30, 2018","$4.2","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Josh Moody","Blasted Science"
"19079","Kadath","Feb 5, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PuppetPlan","PuppetPlan"
"19080","Hei","Apr 4, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Goca Games","Goca Games"
"19081","Electric Sleep","Feb 22, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vlad Abadzhiev, Matthew Weekes, Jack Sanderson-Thwaite, Michael Becze","Vlad Abadzhiev"
"19082","CREEP RIDES","May 30, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","4 Fun Studio Inc.","4 Fun Studio Inc."
"19083","Witch Loraine's Death Game","Oct 31, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Giordano Pacifico","Giordano Pacifico"
"19084","Blue Boy: Bleeding Out","Jun 18, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","plufmot","plufmot"
"19085","Cosmos - Escape From Freedom","Dec 10, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jacwab","PixelPlant"
"19086","Day of vaccination","Nov 30, 2020","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixel Fun Games Production","Pixel Fun Games Production"
"19087","Dark Romance: Ashville Collector's Edition","Mar 27, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Domini Games","Big Fish Games"
"19088","space vanguard","Feb 15, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","浮鲼工作室","浮鲼工作室"
"19089","Palladium: Adventure in Greece","Jun 4, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NLB project","NLB project"
"19091","The Lost Marble","May 28, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jubcow","Jubcow"
"19092","KIRO","Oct 16, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blekoh","Blekoh"
"19094","The Lost Legends of Redwall: The Scout Act 2","Apr 30, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Soma Games","Soma Games"
"19095","Hellcraze","Feb 10, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ElvGames","ElvGames"
"19096","Demon heart","Nov 30, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jiabisu","Jiabisu"
"19098","Weirdlands","Dec 23, 2022","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Martin Mejak","Martin Mejak"
"19099","Bird Pro Skater","Sep 1, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Take Toad","Take Toad"
"19100","Battle Star Asteroids","May 12, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JPG_Games","JPG_Games"
"19101","Eternia: Pet Whisperer","May 5, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shirakumo Games","Shirakumo Games"
"19103","Life-Winner Cong's Double Dragon Dream","May 4, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","神族宝","神族宝"
"19104","Slime's Journey","Sep 15, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","lightUP","lightUP"
"19105","Deep Rune","Oct 14, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JC Bailey","JC Bailey"
"19106","极简地牢 Simple Killer","Jan 21, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meme Games","Meme Games"
"19107","末日竟在我身边2 - Zombies Everywhere 2","Sep 30, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LU QI","LU QI"
"19108","Nott Longa","Nov 5, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Amhardcore","Amhardcore"
"19109","JETBOUNCE","Feb 11, 2022","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kastel Software","Kastel Software"
"19110","Fire in the Beastlands","Dec 2, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chimney Castle","Chimney Castle"
"19111","Dave Dave Dave","Jan 15, 2022","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","axilirate","axilirate"
"19112","月影待蚀 / The Incomplete Lunar","Jan 2022","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DAKIDAKI","DAKIDAKI"
"19113","Sandream","Jul 15, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BluSped","BluSped"
"19114","Swords & Bones 2","May 9, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEEP","SEEP"
"19115","Frame - Portals on Steroids","Jan 11, 2023","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MechanicsDriven","MechanicsDriven"
"19116","Kitten Hero","Feb 1, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Head Bear Games","Head Bear Games"
"19117","Midnight Manor","Oct 1, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Travis Maynard","Travis Maynard"
"19118","Dark Romance: Vampire Origins Collector's Edition","Jul 15, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Domini","Big Fish Games"
"19119","Alice's Warped Wonderland:REcollection","Sep 1, 2022","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nightmare Studio","Nightmare Studio"
"19120","Natsukiri－Summer Vacation At Kirishima House","Nov 16, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DELTARTS","DELTARTS"
"19121","Tower Skydiver","Feb 15, 2023","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Benjamin B","Benjamin B"
"19122","Out of the ground","Dec 13, 2022","$3.29","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Max Pedro","Max Pedro"
"19123","Super Ninja Miner","Mar 8, 2023","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SilenGames","SilenGames"
"19124","Unusual Ghost","Jan 27, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gamesforgames","Gamesforgames"
"19125","Red List Girls. -Andean Flamingo-","Feb 23, 2023","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","7th;MINT","DoubleChallenge Inc."
"19126","Miko Gakkou Monogatari: Kaede Episode","Aug 16, 2015","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","xinoro","xinoro"
"19127","Mutant Mudds Super Challenge","Jul 26, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Renegade Kid LLC","Nighthawk Interactive LLC"
"19128","Super Grav","Nov 7, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DemonStudios","DemonStudios"
"19129","The Overdreamer","Jul 16, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hars","Hars"
"19130","Awakening: The Goblin Kingdom Collector's Edition","Sep 7, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boomzap Entertainment","Big Fish Games"
"19131","Waiting for the Loop","Jan 11, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Side Group","Side Group"
"19132","Rage Quest: The Worst Game","Feb 1, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kyle Hughart","Kyle Hughart"
"19133","BoxCat","Feb 14, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OPEN LEVEL","OPEN LEVEL"
"19134","Manaya","May 25, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wurrad","Wurrad"
"19135","Jack and Sara: Educational game","May 2, 2018","$1.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Reew Games","Reew Games"
"19136","Frigus İnferos","Mar 14, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vingbelz Games","Vingbelz Games"
"19137","Keepers Dungeon","Apr 8, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Run and jump games","Run and jump games"
"19138","Witches' Legacy: The Charleston Curse Collector's Edition","May 3, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EleFun Games","Big Fish Games"
"19139","Spirit Arena","Sep 18, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sweet Dreams Studio","Sweet Dreams Studio"
"19140","Strawhart","Mar 10, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cypher Creations","Cypher Creations"
"19141","四季 The Four Seasons","Sep 20, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","thewindl7","Cosmic Train"
"19142","救赎抉择Resurrection","Sep 30, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Just For Fun","Just For Fun"
"19143","Hyper Treasure - The Legend of Macaron","Apr 17, 2020","$2.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rusimitu","Rusimitu"
"19144","Bleeding Moons","Sep 3, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","IAN Games","Phoenix Online Publishing"
"19146","Maze: Sinister Play Collector's Edition","Jun 21, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mad Head Games","Big Fish Games"
"19147","Trenchlore","Aug 7, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cameron Downey","Cameron Downey"
"19148","Tamiku","Sep 18, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Josyan","Josyan"
"19149","群星战纪: 最终防卫线 - STARS ERA: THE FINAL DEFENCE","Aug 21, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AnimicGame","AnimicGame"
"19150","TITANKIN: Prologue","Aug 13, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FerfWorks","FerfWorks"
"19151","Return of the Heir","Dec 16, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Prime Bit Games SA","Prime Bit Games SA"
"19152","Nemesis - RPG","Feb 4, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ismylife","Ismylife"
"19153","Nikola Tesla: War of the Currents","May 12, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"19154","My Eyes","Sep 24, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Deadly Serious Media","Deadly Serious Media"
"19156","Tetracosm","Jun 4, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Neolark","Neolark"
"19157","Our Battle Has Just Begun! episode 1","Jul 14, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRIDGE INC.","VRIDGE INC."
"19159","Kingdom Traveler","Dec 3, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","烟熏渔","烟熏渔, B1 GAME"
"19160","Hello World","Nov 8, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","咖啡园种植研究基地","咖啡园种植研究基地"
"19161","Die, A.I.","Dec 5, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cleardot Games","Cleardot Games"
"19163","Dungeon Death","Dec 7, 2021","$2.19","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enoops","Enoops"
"19164","VOICE","Dec 9, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WTFMAN","WTFMAN"
"19166","whale.","Feb 27, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rex K.","Rex K."
"19167","Haunted Hotel: The Thirteenth Collector's Edition","Mar 14, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elephant","Big Fish Games"
"19168","BYTE CATS","Oct 19, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bite Through Entertainment","Bite Through Entertainment"
"19169","Inside My Mind 2","Feb 12, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dnovel","Dnovel"
"19170","Rotatex 3","Dec 9, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dnovel","Dnovel"
"19171","In The Gym (Memes Horror Game)","Jan 27, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Performance Artist","Performance Artist"
"19172","PataNoir","Jun 1, 2016","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Simon Christiansen","SiChris Productions"
"19173","PuppetShow: Mystery of Joyville","Oct 14, 2016","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AMAX Interactive","Big Fish Games"
"19174","FIRMA","Nov 18, 2016","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Think Heavy Ltd.","Think Heavy Ltd."
"19177","Zombie Town","Aug 1, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chris Antoni, Rob Guenther","Chris Antoni"
"19178","Labyrinthian","Sep 14, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Benjamin Scott","Lack of Luck Productions"
"19179","Broadway: 1849","Nov 22, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"19180","Last Rose","Aug 30, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","phil","phil"
"19181","AWAKEN：Gunpowder Adventurer Day.Dream","Apr 27, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wheeler Studio","Wheeler Studio"
"19182","Haunted Hotel: Charles Dexter Ward Collector's Edition","Jun 11, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Special Bit","Big Fish Games"
"19184","RPG纪元","Mar 11, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","创克游戏工作室, 小创","创克游戏联盟"
"19185","Phantasmat: The Dread of Oakville Collector's Edition","Oct 12, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eipix Entertainment","Big Fish Games"
"19186","Little Reaper","Jul 20, 2020","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Little Reaper Games","Little Reaper Games"
"19187","Desolate City: The Bloody Dawn Enhanced Edition","Jan 28, 2019","$1.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Netherware Ent.","DigitalEZ"
"19188","Trap for Winners","Mar 28, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Prime Games","Prime Games"
"19189","The Color of the Roses","Mar 27, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lucky owl","Lucky owl"
"19190","Giant Life","Jun 7, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Patagoniart","Patagoniart"
"19191","8 Eyes","Aug 14, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thinking Rabbit","Piko Interactive LLC, Bleem!"
"19192","CrunchTime","Oct 10, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Umiringo Studio","Navila Software Japan"
"19193","Diesel Attack","Mar 3, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mates in Space","Mates in Space"
"19194","Hedera","May 21, 2020","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aiaz Marx","Aiaz Marx"
"19195","Lihue","Aug 9, 2021","$10","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nehual Pascale","Nehual Pascale"
"19197","Hope's Journey: A Therapeutic Experience","Apr 15, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Organic Apps","Organic Apps"
"19198","Limitless Bit","Apr 29, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Inu to Neko","Starship Studio"
"19200","12 Labours of Hercules XII: Timeless Adventure","Jun 28, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zoom Out Games, Jetdogs Studios","Jetdogs Studios"
"19201","SourceWorlds","Mar 10, 2023","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TideOver Studios","TideOver Studios"
"19202","Robin Hood: Hail to the King","Apr 28, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GameOn Production","Alawar Entertainment"
"19203","Dungeon Crawler Daniel","Sep 10, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolfs Moon Studios","Wolfs Moon Studios"
"19204","Afterglitch","Dec 9, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vladimir Kudelka","Hangonit"
"19205","Camp Palut","Jun 15, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bearly Playing Games","Bearly Playing Games"
"19207","Pixel Pirate","Mar 18, 2022","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stas Paty9mkin","Piece Of Voxel"
"19208","Rescue Team: Heist of the Century","Mar 30, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game Mixer","Alawar Entertainment"
"19209","Tales of Fire","Jun 17, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Antonio Filipe","Afil Games"
"19210","Echoes of Mayhem","Feb 20, 2023","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Charging Llama","Charging Llama"
"19211","Roxy Raccoon's Bowling Bash","Aug 23, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sinomod Studios","Sinomod Studios"
"19212","The Kobolds Left Behind","Jul 7, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Archive Entertainment","Archive Entertainment"
"19213","For What Will Come","Oct 28, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FitzyGames","FItzyGames"
"19214","Starshifter","Feb 15, 2023","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Coyotic Games","Coyotic Trouble"
"19215","Nick Bounty - The Goat in the Grey Fedora: Remastered","Oct 3, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pinhead Games","Pinhead Games"
"19216","Die O'Clock","Nov 29, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Darkest Room","Darkest Room"
"19218","Lion King Simulator","Oct 18, 2022","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"19220","Erwin's Timewarp","Sep 21, 2015","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jayanam","Jayanam"
"19221","Lost Bros","Feb 25, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wheat Muffin Games","Wheat Muffin Games"
"19222","Eclipsed","Feb 17, 2016","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Christ Laurenz Sambrano","Christ Laurenz Sambrano"
"19224","Battle Knights","Aug 31, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mire Studios","Mire Studios"
"19225","Mitch: Berry Challenge","Aug 25, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boidae Games","Boidae Games"
"19226","The Rosefinch Curse（Ning's Wing 1）","Sep 20, 2016","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","T34 Studio","T34 Studio"
"19227","BRKÖUT","Sep 29, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fisher Wagg, Simon Wagg, Aaron Taylor","Stupid Massive Unbelievable Games"
"19228","VR Roller Coaster - Cave Depths","Nov 21, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ARLOOPA Inc.","ARLOOPA Inc."
"19229","Castle Agony","Mar 26, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Pompous Pixel","The Pompous Pixel"
"19230","Arca's Path VR","Dec 4, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dream Reality Interactive","Rebellion"
"19231","New Ice York","Jul 4, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","magicdweedoo","magicdweedoo"
"19232","Skelittle: A Giant Party!!","Nov 28, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bubble Studios","Bubble Studios"
"19233","尘沙的选择 THE CHOICE OF SAND","Nov 21, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","quanhome","quanhome"
"19234","Weyrwood","Nov 29, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"19235","Darkest Depths","Apr 18, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kyle Gilmore","Kyle Gilmore Games"
"19236","神谋","Jun 11, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","个人制作","个人制作"
"19237","Woodfel","Apr 30, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","L3fty Games","L3fty Games"
"19238","The Ancient Labyrinth","Sep 24, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nicola Gaeta","Nicola Gaeta"
"19239","Rogue","Oct 31, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lone Sky","Lone Sky"
"19241","Dr. Atominus","Jul 22, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pikku-a","Pikku-a"
"19242","Possession 1881","Jun 5, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","End of the Line Studios","End of the Line Studios"
"19243","How to Win: Season One","Mar 30, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hidden Track","Hidden Track"
"19244","Nova Odessa","Sep 10, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Leonardo Alexandrino","Leonardo Alexandrino"
"19246","Wilhelm Gustloff's Death","Jan 29, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Interactive Gaming Studios","Interactive Gaming Studios"
"19247","The Reason Why Raeliana Ended up at the Duke's Mansion","May 27, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SHIFT UP Corp.","SHIFT UP Corp."
"19248","Restless Night","Jun 16, 2021","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HugePixel","HugePixel"
"19249","Insect Adventure","May 17, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MAYO-FORCE LLC","MAYO-FORCE LLC"
"19250","The Absolutely Hilarious Cat Game","Jul 9, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mojoe","Mojoe"
"19251","雾尽时分","Mar 3, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","济沧海工作室","Pujia8 Studio"
"19252","Happy Island Life","Mar 28, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","William at Oxford","William at Oxford"
"19253","Spooky Story","Feb 1, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GalopsaTM","kovalevviktor"
"19254","Treasure Temples","Feb 3, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GAMEDIA","GAMEDIA"
"19255","Kapellmeister","May 13, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","eevoe","eevoe"
"19256","末路希冀","Apr 27, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","攸心工作室","VVAI 社, 攸心工作室"
"19257","SCALEPLANET","May 24, 2022","$44.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Scale Studio, Gamesforgames","Scale Studio, Gamesforgames"
"19258","Bring It On!","Jun 20, 2022","$2.24","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Axol Studio, LLC","Axol Studio, LLC"
"19259","Mystical Island","Jul 15, 2022","$0.37","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Seaborgium Entertainment","Seaborgium Entertainment"
"19260","Highway Cross","Oct 17, 2022","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beam Bong Games","Atomic Fabrik, Cristian Manolachi"
"19261","Station 117","Nov 23, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Glitch Games","Glitch Games"
"19262","Tom vs. The Armies of Hell","Jul 27, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Darkmire Entertainment","Darkmire Entertainment"
"19263","Titanis","Jun 8, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Silver Goblet Games","Silver Goblet Games"
"19264","Rynn's Adventure: Trouble in the Enchanted Forest","Mar 31, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Arcane Four Studios","Arcane Four Studios"
"19265","COMBAT INSTINCT","Oct 19, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Prism Interactive Entertainment Inc.","Prism Interactive Entertainment Inc."
"19266","Guardian","Sep 8, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exodus Software","Exodus Software"
"19268","Sword of the Black Stone","May 24, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","N J FOX, KRH","Applimazing"
"19269","Castle: Jigsaw Puzzles","May 23, 2018","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"19270","Apartment 327","Feb 22, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BinaryBox Studios","BinaryBox Studios"
"19271","Super Jet Juck","Nov 17, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dnovel","Dnovel"
"19272","Tales of Sorrow: Strawsbrough Town","Jan 27, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Urchin Games","HH-Games"
"19273","KEIKA - A Puzzle Adventure","Jul 12, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YukiOstudio","YukiOstudio"
"19274","Roots Of The Woods","Sep 22, 2019","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PlumBear Games","PlumBear Games"
"19275","Boomer Remover","Dec 18, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RIVERSIDE SPORTS","RIVERSIDE SPORTS"
"19276","Witchcraft: Pandoras Box","Jan 3, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meridian93 Studio","HH-Games"
"19277","Haunted Hotel: Lost Time Collector's Edition","Jun 19, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elephant Games","Big Fish Games"
"19278","Pillow Simulator","Dec 15, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SVGames","SVGames"
"19279","Poco In Dungeon","Dec 21, 2020","$1.26","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sonic-Alpha","NS"
"19280","Merchants of the Caribbean","Mar 3, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GameOn Production","Alawar Entertainment"
"19282","Entodrive","Feb 15, 2022","$5.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Noah Lewin","Day Dreamer Games"
