"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"177","Enter the Gungeon","Apr 5, 2016","$14.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","02:04 (02:27)","Dodge Roll","Devolver Digital"
"178","Black Mesa","Mar 6, 2020","$19.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","04:30 (08:47)","Crowbar Collective","Crowbar Collective"
"197","Divide By Sheep","Jul 2, 2015","$4.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Victor Solodilov, Denis Novikov","tinyBuild"
"214","Darksiders","Sep 23, 2010","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Vigil Games","THQ Nordic"
"217","Orcs Must Die! 2","Jul 30, 2012","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","02:33 (02:58)","Robot Entertainment","Robot Entertainment"
"222","L.A. Noire","Nov 8, 2011","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Team Bondi, Rockstar Leeds","Rockstar Games"
"224","Alan Wake","Feb 16, 2012","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Remedy Entertainment","Remedy Entertainment"
"225","Grounded","Sep 27, 2022","$39.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","05:57 (02:58)","Obsidian Entertainment","Xbox Game Studios"
"227","Broforce","Oct 15, 2015","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","01:01 (00:23)","Free Lives","Devolver Digital"
"228","Resident Evil 7 Biohazard","Jan 23, 2017","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:39 (00:51)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"230","This War of Mine","Nov 14, 2014","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","02:30 (03:19)","11 bit studios","11 bit studios"
"291","The Walking Dead","Apr 24, 2012","$14.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:05 (00:02)","Telltale Games","Skybound Games"
"350","Mirror's Edge","Jan 13, 2009","$4.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","05:44 (03:49)","DICE","Electronic Arts"
"351","Dragon's Dogma: Dark Arisen","Jan 15, 2016","$29.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:32 (00:32)","Capcom","Capcom"
"355","Little Nightmares","Apr 27, 2017","$19.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","02:23 (01:30)","Tarsier Studios","BANDAI NAMCO Entertainment"
"357","STAR WARS Jedi: Fallen Order","Nov 14, 2019","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","04:28 (03:20)","Respawn Entertainment","Electronic Arts"
"358","Starbound","Jul 22, 2016","$14.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:55 (00:36)","Chucklefish","Chucklefish"
"430","Trine Enchanted Edition","Jul 2, 2009","$3.74","N/A (N/A/80%)","2,000,000 .. 5,000,000","00:00 (00:00)","Frozenbyte","Frozenbyte"
