Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text,dev_pub_relation,accion,aventura,deportes,early,estrategia,free,mmorpg,rpg,simulacion,indie,Release year,dev_code
Attack on Titan / A.O.T. Wings of Freedom,2016-08-26,59.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+05,200000.0,100.0K,200.0K,igual,1,0,0,0,0,0,0,0,0,0,2016.0,5
WARRIORS OROCHI 4,2018-10-15,59.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+05,200000.0,100.0K,200.0K,igual,1,0,0,0,0,0,0,0,0,0,2018.0,5
WILD HEARTS,2023-02-16,69.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.",Electronic Arts,1.00E+05,200000.0,100.0K,200.0K,distinto,1,1,0,0,0,0,0,0,0,0,2023.0,5
Hatsune Miku: Project DIVA Mega Mix+,2022-05-26,39.39,"100,000 .. 200,000",SEGA,SEGA,1.00E+05,200000.0,100.0K,200.0K,igual,1,0,0,0,0,0,0,0,0,0,2022.0,7
Shadow Ninja: Apocalypse,2015-11-16,0.39,"100,000 .. 200,000",Boogygames Studios,Boogygames Studios,1.00E+05,200000.0,100.0K,200.0K,igual,1,1,0,0,1,0,0,0,0,1,2015.0,14
Dinosaur Forest,2017-05-17,0.99,"100,000 .. 200,000",Racing Bros,ANPA.US,1.00E+05,200000.0,100.0K,200.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,10
Storm Of Spears RPG,2016-06-17,1.99,"100,000 .. 200,000",Warfare Studios,Senpai Studios,1.00E+05,200000.0,100.0K,200.0K,distinto,1,1,0,0,0,0,0,1,0,1,2016.0,13
DRAGON QUEST HEROES Slime Edition,2015-12-03,39.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.",Square Enix,1.00E+05,200000.0,100.0K,200.0K,distinto,1,0,0,0,0,0,0,1,0,0,2015.0,5
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,2021-06-09,39.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+05,200000.0,100.0K,200.0K,igual,1,1,0,0,0,0,0,0,0,0,2021.0,5
Capcom Beat 'Em Up Bundle,2018-10-10,19.99,"100,000 .. 200,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1.00E+05,200000.0,100.0K,200.0K,igual,1,0,0,0,0,0,0,0,0,0,2018.0,2
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,2021-06-09,39.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+05,200000.0,100.0K,200.0K,igual,1,1,0,0,0,0,0,0,0,0,2021.0,5
Space Channel 5: Part 2,2011-03-04,7.99,"100,000 .. 200,000",SEGA,SEGA,1.00E+05,200000.0,100.0K,200.0K,igual,1,0,0,0,0,0,0,0,0,0,2011.0,7
L.A. Noire: The VR Case Files,2017-12-15,29.99,"50,000 .. 100,000",Rockstar Games,Rockstar Games,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,0,0,0,0,0,0,2017.0,3
