Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Neko Loop,2022-12-23,17.5,"0 .. 20,000",Fifth Vertex,Fifth Vertex,0.00E+00,2.00E+04,0,20.0K
Madorica Real Estate 2 - The mystery of the new property -,2023-02-08,19.99,"0 .. 20,000","GIFT TEN INDUSTRY K.K., TUMBLEWEEDJP",GIFT TEN INDUSTRY K.K.,0.00E+00,2.00E+04,0,20.0K
Wrath Of The Fire God,2017-12-18,,"0 .. 20,000",Gamaya Inc,Gamaya Inc,0.00E+00,2.00E+04,0,20.0K
Fetch,2017-01-24,6.99,"0 .. 20,000",Big Fish Studios,Big Fish Games,0.00E+00,2.00E+04,0,20.0K
SmuggleCraft,2017-05-23,9.99,"0 .. 20,000",Happy Badger Studio,Happy Badger Studio,0.00E+00,2.00E+04,0,20.0K
Miracle Mia,2019-08-23,5.99,"0 .. 20,000",Shademare,Shademare,0.00E+00,2.00E+04,0,20.0K
Cosmic Top Secret,2018-11-15,11.99,"0 .. 20,000","Klassefilm, Those Eyes",Klassefilm,0.00E+00,2.00E+04,0,20.0K
Viking Brothers 4,2018-04-25,6.99,"0 .. 20,000",Alawar Stargaze,Alawar Entertainment,0.00E+00,2.00E+04,0,20.0K
Burden of Proof,2018-07-26,14.99,"0 .. 20,000",RobProductions,RobProductions,0.00E+00,2.00E+04,0,20.0K
Up All Night,2021-10-20,6.99,"0 .. 20,000",Fiendish Fiction,Fiendish Fiction,0.00E+00,2.00E+04,0,20.0K
Chernobyl inferno,2022-01-17,4.99,"0 .. 20,000",Shumilin,Shumilin,0.00E+00,2.00E+04,0,20.0K
Tightrope Theatre,2022-08-10,4.99,"0 .. 20,000",Adventure Islands,Adventure Islands,0.00E+00,2.00E+04,0,20.0K
The Moroccan Castle 3 : Behind The Secrets,2023-03-20,4.99,"0 .. 20,000",AJB GAMES STUDIO,AJB GAMES STUDIO,0.00E+00,2.00E+04,0,20.0K
Equivoque,2017-06-27,1.99,"0 .. 20,000",Jenny Bee Presents,Jenny Bee Presents,0.00E+00,2.00E+04,0,20.0K
Dark Romance: Vampire in Love Collector's Edition,2017-10-11,9.99,"0 .. 20,000",Domini Games,Big Fish Games,0.00E+00,2.00E+04,0,20.0K
Royal Gems,2019-04-01,4.99,"0 .. 20,000",8floor,8floor,0.00E+00,2.00E+04,0,20.0K
