Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
GlitchPets,2018-07-01,4.99,"0 .. 20,000","Cool and Normal Entertainment, Cool and Normal Entertainment",Cool and Normal Entertainment,0.00E+00,2.00E+04,0,20.0K
그 어느 여름날의 이야기,2020-09-03,0.0,"0 .. 20,000",유진게임즈,유진게임즈,0.00E+00,2.00E+04,0,20.0K
Simple FPS Aim Trainer,2020-10-05,1.99,"0 .. 20,000",TapHazard Games,TapHazard Games,0.00E+00,2.00E+04,0,20.0K
MECH PUNK,2022-11-24,4.99,"0 .. 20,000",Mr. Pink,Mr. Pink,0.00E+00,2.00E+04,0,20.0K
The Parenting Simulator,2019-09-30,5.99,"0 .. 20,000",Hosted Games,Hosted Games,0.00E+00,2.00E+04,0,20.0K
Clown In a House,2021-07-20,7.99,"0 .. 20,000",Krispy Animation,Krispy Animation,0.00E+00,2.00E+04,0,20.0K
Gardens Inc. 2: The Road to Fame,2014-05-22,9.99,"0 .. 20,000","World-Loom, Nitreal",MumboJumbo,0.00E+00,2.00E+04,0,20.0K
Sweet Escape VR,2016-04-20,9.99,"0 .. 20,000","Reailty Smash, Inc.","Reality Smash, Inc.",0.00E+00,2.00E+04,0,20.0K
Fantasy Fishing Town,2022-05-09,6.99,"0 .. 20,000",RainbowStudio,RainbowStudio,0.00E+00,2.00E+04,0,20.0K
청춘향전 Cheongchunhyang Jeon,2021-12-19,4.99,"0 .. 20,000","J Wonder Co.,Ltd.","J Wonder Co.,Ltd.",0.00E+00,2.00E+04,0,20.0K
ECHOPLEX,2018-03-15,14.99,"0 .. 20,000",Output Games,"Output Games, indienova",0.00E+00,2.00E+04,0,20.0K
Planet Miner,2021-05-04,0.99,"0 .. 20,000","Cherniukh Andrii, HornetStudio",Cherniukh Andrii,0.00E+00,2.00E+04,0,20.0K
WW Fantasy,2018-05-05,2.99,"0 .. 20,000",Lcc,Lcc,0.00E+00,2.00E+04,0,20.0K
Hentai: The Shell Game,2018-09-24,0.99,"0 .. 20,000",Ninba,Ninba Games,0.00E+00,2.00E+04,0,20.0K
Baby Hands,2018-07-26,19.99,"0 .. 20,000",Chicken Waffle,Chicken Waffle,0.00E+00,2.00E+04,0,20.0K
Forge and Fight!,2020-09-17,4.99,"0 .. 20,000",Flamebait Games,Flamebait Games,0.00E+00,2.00E+04,0,20.0K
Heart's Medicine - Season One,2020-05-13,12.99,"0 .. 20,000","Big Blue Studios, GameHouse",GameHouse,0.00E+00,2.00E+04,0,20.0K
