Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
封灵档案,2021-03-01,0.0,"2,000,000 .. 5,000,000",（Hong Kong）GKD,（Hong Kong）GKD,2.00E+06,5.00E+06,2.0M,5.0M
Dungeon Defenders II,2017-06-20,0.0,"2,000,000 .. 5,000,000",Chromatic Games,Chromatic Games,2.00E+06,5.00E+06,2.0M,5.0M
Magic Duels,2015-07-29,,"2,000,000 .. 5,000,000",Stainless Games Ltd.,Wizards of the Coast LLC,2.00E+06,5.00E+06,2.0M,5.0M
Conqueror's Blade,2019-05-30,0.0,"2,000,000 .. 5,000,000",Booming Tech,MY.GAMES,2.00E+06,5.00E+06,2.0M,5.0M
RISK: Global Domination,2020-02-19,0.0,"2,000,000 .. 5,000,000",SMG Studio,SMG Studio,2.00E+06,5.00E+06,2.0M,5.0M
Yu-Gi-Oh! Duel Links,2017-11-16,0.0,"2,000,000 .. 5,000,000",Konami Digital Entertainment,Konami Digital Entertainment,2.00E+06,5.00E+06,2.0M,5.0M
Eternal Return: Black Survival,2020-10-14,0.0,"2,000,000 .. 5,000,000",Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE), Nimble Neuron (Excluding EU,NA,OCE)",2.00E+06,5.00E+06,2.0M,5.0M
Business Tour - Board Game with Online Multiplayer,2017-07-27,0.0,"2,000,000 .. 5,000,000",Creobit,8Floor,2.00E+06,5.00E+06,2.0M,5.0M
"Warhammer 40,000: Dawn of War II: Retribution",2011-02-28,29.99,"2,000,000 .. 5,000,000","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)",2.00E+06,5.00E+06,2.0M,5.0M
Orcs Must Die! 3,2021-07-23,29.99,"2,000,000 .. 5,000,000",Robot Entertainment,Robot Entertainment,2.00E+06,5.00E+06,2.0M,5.0M
Pacify,2019-02-22,4.99,"2,000,000 .. 5,000,000",Shawn Hitchcock,Hitchcock Games,2.00E+06,5.00E+06,2.0M,5.0M
太吾绘卷 The Scroll Of Taiwu,2018-09-20,19.99,"2,000,000 .. 5,000,000",ConchShip Games,ConchShip Games,2.00E+06,5.00E+06,2.0M,5.0M
Cookie Clicker,2021-09-01,4.99,"2,000,000 .. 5,000,000","Orteil, DashNet",Playsaurus,2.00E+06,5.00E+06,2.0M,5.0M
Plague Inc: Evolved,2016-02-18,14.99,"2,000,000 .. 5,000,000",Ndemic Creations,Ndemic Creations,2.00E+06,5.00E+06,2.0M,5.0M
Baldur's Gate 3,2020-10-06,59.99,"2,000,000 .. 5,000,000",Larian Studios,Larian Studios,2.00E+06,5.00E+06,2.0M,5.0M
Tabletop Simulator,2015-06-05,19.99,"2,000,000 .. 5,000,000",Berserk Games,Berserk Games,2.00E+06,5.00E+06,2.0M,5.0M
