Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Entropic Shop VR,2018-01-24,4.99,"0 .. 20,000",Big Horn Studio,Big Horn Studio,0.00E+00,2.00E+04,0,20.0K
Cannon Crew,2018-02-01,5.99,"0 .. 20,000",WoksOnStudios,WoksOnStudios,0.00E+00,2.00E+04,0,20.0K
LVL99: AxeRage,2018-01-31,,"0 .. 20,000",Master UOMU,Master UOMU,0.00E+00,2.00E+04,0,20.0K
Escape the Grid VR,2018-06-15,9.99,"0 .. 20,000",L&D Games,L&D Games,0.00E+00,2.00E+04,0,20.0K
Vertigo FPS,2018-06-27,4.99,"0 .. 20,000","Lothor, Informo","Lothor, Informo",0.00E+00,2.00E+04,0,20.0K
Life After The Living,2018-07-24,8.99,"0 .. 20,000",J&J Game Dev's,J&J Game Dev's,0.00E+00,2.00E+04,0,20.0K
Tony Slopes,2023-02-14,19.99,"0 .. 20,000",SEEDTECH Studios Ltd,SEEDTECH Studios Ltd,0.00E+00,2.00E+04,0,20.0K
The Twiggles VR,2018-09-24,19.99,"0 .. 20,000",Jump Start Games,Jump Start Games,0.00E+00,2.00E+04,0,20.0K
Prixel,2018-11-01,0.99,"0 .. 20,000",Grytis,Indie,0.00E+00,2.00E+04,0,20.0K
Auri's Tales,2018-12-12,2.99,"0 .. 20,000",Dad's Indie Studio,Dad's Indie Studio,0.00E+00,2.00E+04,0,20.0K
Trysaria,2019-06-27,,"0 .. 20,000",Oblitus Games,Oblitus Games,0.00E+00,2.00E+04,0,20.0K
Radical Gear,2019-07-30,9.99,"0 .. 20,000",Miriel,Miriel,0.00E+00,2.00E+04,0,20.0K
A Wanderer's Adventure,2019-08-22,1.99,"0 .. 20,000",A Wanderer,Wander Studios,0.00E+00,2.00E+04,0,20.0K
Bolf,2019-11-19,7.99,"0 .. 20,000",SimTenero,SimTenero,0.00E+00,2.00E+04,0,20.0K
COWBOY YAKUZA,2020-02-17,9.99,"0 .. 20,000",Active Gaming Media Inc.,"Active Gaming Media Inc., Maple Whispering Co.,Ltd.",0.00E+00,2.00E+04,0,20.0K
Dry Grass,2020-04-09,4.99,"0 .. 20,000",Matus Pavkeje,Pogy Production,0.00E+00,2.00E+04,0,20.0K
Pandemic Bunny,2020-09-08,0.99,"0 .. 20,000",Fluffy Bunny Studios,Fluffy Bunny Studios,0.00E+00,2.00E+04,0,20.0K
Hybrid Beasts,2020-10-07,19.99,"0 .. 20,000",Beastbits,Beastbits,0.00E+00,2.00E+04,0,20.0K
Soul Shifter,2021-08-24,4.99,"0 .. 20,000",Innominatum Digital,Innominatum Digital,0.00E+00,2.00E+04,0,20.0K
NO MAN IS AN ISLAND,2020-12-24,9.99,"0 .. 20,000",ISLE GAME,ISLE GAME,0.00E+00,2.00E+04,0,20.0K
Escape From My Turrets,2021-03-10,8.99,"0 .. 20,000",IS-TL,IS-TL,0.00E+00,2.00E+04,0,20.0K
Dr Iwan: Evolution,2021-11-19,6.99,"0 .. 20,000",OMSTUDIO,OMSTUDIO,0.00E+00,2.00E+04,0,20.0K
Terragon: Symbol Of Magic,2021-09-08,19.99,"0 .. 20,000",Reality Shift Studios,Reality Shift Studios,0.00E+00,2.00E+04,0,20.0K
Evil Soul,2021-09-08,8.99,"0 .. 20,000",BluePrinting,BluePrinting,0.00E+00,2.00E+04,0,20.0K
Fighties 2,2022-01-26,11.99,"0 .. 20,000",Pillow Pig Games,Pillow Pig Games,0.00E+00,2.00E+04,0,20.0K
Apocalyptic Adventure: Episode 1,2021-10-21,4.99,"0 .. 20,000","Ascenzio, LLC","Ascenzio, LLC",0.00E+00,2.00E+04,0,20.0K
Soccer Boss,2021-10-21,12.99,"0 .. 20,000",Alternative Software Ltd,Alternative Software Ltd,0.00E+00,2.00E+04,0,20.0K
Headpunk: The Comic-Style Battle Chaos,2022-08-29,2.99,"0 .. 20,000",Nebi Game Studios,Nebi Game Studios,0.00E+00,2.00E+04,0,20.0K
Abyss Protection,2022-11-18,5.99,"0 .. 20,000",Exbyte Studios,Exbyte Studios,0.00E+00,2.00E+04,0,20.0K
游戏玩家中医体质测试及养生指南,2022-05-05,2.99,"0 .. 20,000",曲波,曲波,0.00E+00,2.00E+04,0,20.0K
Girls' civilization 3,2022-07-13,18.99,"0 .. 20,000",Moondolino,Moondolino,0.00E+00,2.00E+04,0,20.0K
纷争之世,2022-06-25,10.99,"0 .. 20,000",琅顾工作室,琅顾工作室,0.00E+00,2.00E+04,0,20.0K
Cyber Blades,2022-06-29,0.0,"0 .. 20,000",Jaemoon Choi,MemeNgin,0.00E+00,2.00E+04,0,20.0K
TurboMania Fog Racers,2022-08-25,4.99,"0 .. 20,000",Carrramba Games,Carrramba Games,0.00E+00,2.00E+04,0,20.0K
good game,2022-10-10,8.19,"0 .. 20,000",[TQ]king,goodkarmagames,0.00E+00,2.00E+04,0,20.0K
Rise Of A Hero,2022-09-16,9.99,"0 .. 20,000",ismail özel,ismail özel,0.00E+00,2.00E+04,0,20.0K
HorrorBox,2022-10-26,5.99,"0 .. 20,000",Cryogen Labs LLC,Cryogen Labs LLC,0.00E+00,2.00E+04,0,20.0K
